表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(30％未満)(％),減少(50％未満)(％),大幅減少(50％以上)(％),無回答(％)
,,今回調査（全体）,760,7.4,14.2,27,19.5,30.5,1.4
業種別,,食料品卸売業,237,6.8,12.7,28.7,21.5,30,0.4
業種別,,生鮮食品卸売業,126,3.2,15.1,27.8,21.4,31.7,0.8
業種別,,加工食品等卸売業,111,10.8,9.9,29.7,21.6,27.9,0
業種別,,衣料品関連卸売業,145,5.5,15.2,22.8,20.7,35.9,0
業種別,,住関連卸売業,83,7.2,12,27.7,14.5,34.9,3.6
業種別,,その他卸売業,288,9,15.6,27.4,17.7,27.8,2.4
従業者規模別,,1～5人,399,5.5,11,22.6,20.8,38.3,1.8
従業者規模別,,6～9人,101,11.9,19.8,34.7,11.9,21.8,0
従業者規模別,,10～49人,208,8.7,17.3,30.3,18.8,23.1,1.9
従業者規模別,,50人以上,36,8.3,13.9,36.1,27.8,13.9,0
取引形態別,一次卸,小売直取引卸,219,6.4,16.4,25.1,20.5,30.6,0.9
取引形態別,一次卸,他部門直取引卸,50,8,18,36,14,22,2
取引形態別,一次卸,元卸,154,9.7,17.5,28.6,16.9,25.3,1.9
取引形態別,二次卸,中間卸,85,1.2,8.2,28.2,17.6,43.5,1.2
取引形態別,二次卸,最終卸,135,6.7,8.9,26.7,28.1,28.1,1.5
取引形態別,その他,製造問屋,19,21.1,15.8,10.5,5.3,47.4,0
取引形態別,その他,その他卸,77,9.1,16.9,27.3,15.6,29.9,1.3
