表側１,表側２,表側３,回答企業数(件),週休２日(%),週休１日(%),隔週１日(%),月間１日(%),不定休(%),年末年始のみ(%),年中無休(%),その他(%),無回答(%)
,,今回調査（全体）,2141,16.2,47.5,0.8,0.7,9.6,4.0,12.6,5.4,3.0
,,前回調査,2003,14.1,48.6,0.8,0.6,11.0,4.4,11.8,2.9,5.6
業種別,,総合商品小売業,189,2.6,2.1,0.0,0.0,2.1,1.1,89.4,2.6,0.0
業種別,,生鮮食品小売業,134,20.9,62.7,1.5,0.0,3.7,2.2,3.7,4.5,0.7
業種別,,食料品関連小売業,535,17.6,55.5,0.9,0.9,9.2,1.9,5.6,6.7,1.7
業種別,,衣料品関連小売業,298,15.1,45.6,0.7,1.3,15.4,6.7,7.7,6.0,1.3
業種別,,住関連小売業,167,13.2,62.9,0.6,0.0,10.2,6.6,2.4,3.6,0.6
業種別,,その他小売業,773,19.8,50.6,1.0,0.9,10.9,5.2,4.9,5.8,0.9
従業者規模別,,１～２人,1066,16.7,52.5,1.4,0.8,14.4,2.9,3.8,4.2,3.4
従業者規模別,,３～５人,486,19.8,55.8,0.0,0.8,6.0,3.1,5.1,6.6,2.9
従業者規模別,,６～19人,336,13.1,38.4,0.3,0.9,3.3,6.5,30.1,5.1,2.4
従業者規模別,,20人以上,170,6.5,11.8,0.6,0.6,4.1,9.4,56.5,8.2,2.4
店舗立地環境別,,駅周辺,579,14.5,49.4,0.5,0.5,8.3,6.2,14.0,5.7,0.9
店舗立地環境別,,商業地（駅周辺を除く）,485,14.4,52.8,1.4,1.4,12.0,4.3,8.9,3.3,1.4
店舗立地環境別,,ロードサイド,128,14.8,42.2,0.0,0.0,10.2,4.7,18.8,7.8,1.6
店舗立地環境別,,住宅街,740,17.8,48.5,0.8,0.8,9.7,2.7,12.7,6.1,0.8
店舗立地環境別,,オフィス街,60,40.0,28.3,0.0,0.0,3.3,3.3,20.0,5.0,0.0
店舗立地環境別,,工業地・倉庫街,2,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
店舗立地環境別,,その他,59,20.3,45.8,1.7,0.0,13.6,0.0,10.2,6.8,1.7
