表側,35歳未満,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65歳以上,都平均
年平均1ヶ月消費支出額（円）,287726,307206,351090,366665,401154,416274,357264,278990,326563
食料（％）,25.3,25.7,25.7,25.7,23.4,24.2,28.1,29.4,26.9
住居（％）,14.4,10.5,7.1,6.5,6.7,3.3,7.6,7.5,7.2
光熱・水道（％）,5.9,5.7,5.7,5.9,5.8,5.7,6.3,7.5,6.5
家具・家事用品（％）,4.2,3.7,4.3,3.5,2.8,2.9,4.1,4.1,3.8
被服及び履物（％）,6.1,5.1,4.9,4.3,4.4,5,4.5,3.6,4.3
保健医療（％）,3.8,5.2,4,5.1,3.2,3.5,5.2,6.6,5.1
交通・通信（％）,12.7,10.5,11.9,11.7,13.7,15.7,12.3,8.6,11.2
教育（％）,3.6,6.3,8.9,12.4,14.5,10,3.3,0.3,5.9
教養娯楽（％）,11.2,14.1,11.6,11,9.7,11.4,11.6,11.8,11.5
その他の消費支出（％）,12.9,13.2,16,14,15.7,18.1,17.1,20.5,17.6
