大分類,中分類,小分類,細分類,
A農業，林業,2,11,33,第１次産業
B漁業,2,6,21,第１次産業
C鉱業，採石業，砂利採取業,1,7,32,第２次産業
D建設業,3,23,55,第２次産業
E製造業,24,177,595,第２次産業
F電気・ガス・熱供給・水道業,4,10,17,第３次産業
G情報通信業,5,20,45,第３次産業
H運輸業，郵便業,8,33,62,第３次産業
I卸売業，小売業,12,61,202,第３次産業
J金融業，保険業,6,24,72,第３次産業
K不動産業，物品賃貸業,3,15,28,第３次産業
L学術研究，専門・技術サービス業,4,23,42,第３次産業
M宿泊業，飲食サービス業,3,17,29,第３次産業
N生活関連サービス業，娯楽業,3,23,69,第３次産業
O教育，学習支援業,2,16,35,第３次産業
P医療，福祉,3,18,41,第３次産業
Q複合サービス事業,2,6,10,第３次産業
Rサービス業（他に分類されないもの）,9,34,66,第３次産業
S公務（他に分類されるものを除く）,2,5,5,第３次産業
T分類不能の産業,1,1,1,
（計）20,99,530,1,
