,,1970年以前,1971～1980年,1981～1990年,1991～2000年,2001～2010年,2011年以降,無回答            ,ｎ
,今回調査（全体）,7.8,8,14.9,18,23.4,21.1,6.8,2348
,前回調査,10.3,10.3,19.2,21.3,21.7,12.6,4.6,2263
業種別,情報・コンテンツ業,3.8,4.7,13,18.1,28,27.7,4.8,640
業種別,専門サービス業,5.2,8.5,12.1,17.4,25.2,22.9,8.5,820
業種別,技術サービス業,10.6,8.8,22.1,23.5,17.1,13.2,4.7,340
業種別,事業サービス業,14.6,11,16.4,15.8,18.7,16,7.5,507
特定10業種別,ソフトウェア業,1,1,12.9,24.5,28,28.3,4.2,286
特定10業種別,インターネット附随サービス業,0,0,4.8,11.3,35.5,43.5,4.8,62
特定10業種別,映像情報制作・配給業,7.4,4.4,8.8,16.2,27.9,26.5,8.8,68
特定10業種別,出版業,20,16.4,23.6,9.1,14.5,12.7,3.6,55
特定10業種別,税理士事務所,11.5,11.9,16.5,21.1,17.4,15.6,6,218
特定10業種別,デザイン業,2.9,12.5,15.4,20.2,27.9,11.5,9.6,104
特定10業種別,経営コンサルタント業,0,0.6,5,15.6,31.8,35.8,11.2,179
特定10業種別,建築設計業,6.7,8.3,24.4,30,13.3,12.2,5,180
特定10業種別,自動車整備業,33.3,14.8,18.5,7.4,13,3.7,9.3,54
特定10業種別,建物サービス業,17.1,18.9,18.9,16.2,15.3,6.3,7.2,111
従業者規模別,1～2人,4.2,4.1,10.7,17.4,26.9,27.6,9.1,971
従業者規模別,3～5人,9.6,9.8,16.9,18.5,19.5,20.8,4.9,573
従業者規模別,6～9人,6.4,14,15.6,22.8,23.2,11.6,6.4,250
従業者規模別,10～29人,10.4,9.8,17.7,18,24.4,15.8,3.8,316
従業者規模別,30人以上,16.7,11.4,24.3,14.8,17.6,13.8,1.4,210
