表側１,表側２,表側３,回答企業数(件),マイナスの影響(％),プラスの影響(％),影響はない(％),わからない(％),無回答(％)
,,今回調査（全体）,760,83.4,3.4,6.6,5.4,1.2
業種別,,食料品卸売業,237,86.1,4.6,5.9,2.5,0.8
業種別,,生鮮食品卸売業,126,88.9,4,4.8,2.4,0
業種別,,加工食品等卸売業,111,82.9,5.4,7.2,2.7,1.8
業種別,,衣料品関連卸売業,145,91.7,1.4,1.4,4.1,1.4
業種別,,住関連卸売業,83,83.1,2.4,8.4,4.8,1.2
業種別,,その他卸売業,288,77.1,3.8,9.4,8.3,1.4
従業者規模別,,1～5人,399,84.7,2,6.8,5.3,1.3
従業者規模別,,6～9人,101,81.2,4,10.9,4,0
従業者規模別,,10～49人,208,82.7,4.3,4.8,7.2,1
従業者規模別,,50人以上,36,83.3,11.1,2.8,2.8,0
取引形態別,一次卸,小売直取引卸,219,85.4,2.7,4.6,6.8,0.5
取引形態別,一次卸,他部門直取引卸,50,86,2,6,6,0
取引形態別,一次卸,元卸,154,84.4,4.5,7.1,2.6,1.3
取引形態別,二次卸,中間卸,85,85.9,0,5.9,8.2,0
取引形態別,二次卸,最終卸,135,88.1,3.7,5.2,2.2,0.7
取引形態別,その他,製造問屋,19,68.4,10.5,10.5,5.3,5.3
取引形態別,その他,その他卸,77,68.8,5.2,14.3,7.8,3.9
売上高増減別(前年同期比),,増加,56,35.7,28.6,25,10.7,0
売上高増減別(前年同期比),,横ばい,108,66.7,4.6,16.7,11.1,0.9
売上高増減別(前年同期比),,減少,585,91.1,0.7,3.1,3.9,1.2
売上高増減別(３年前),,増加,136,75,8.1,10.3,5.9,0.7
売上高増減別(３年前),,横ばい,130,72.3,4.6,11.5,10.8,0.8
売上高増減別(３年前),,減少,443,89.6,1.4,3.6,4.1,1.4
経常損益の変化別(前年同期比),,増益,67,40.3,25.4,17.9,16.4,0
経常損益の変化別(前年同期比),,横ばい,124,68.5,4,18.5,8.1,0.8
経常損益の変化別(前年同期比),,減益,543,92.4,0.4,2.4,3.5,1.3
経常損益の変化別(３年前),,増益,128,76.6,7.8,8.6,7,0
経常損益の変化別(３年前),,横ばい,229,79.9,3.5,8.3,7,1.3
経常損益の変化別(３年前),,減益,351,89.2,1.7,4,4,1.1
