表側１,表側２,表側３,回答企業数(件),適切な候補者の不在(％),後継者の教育・成長(％),業績不振(％),株式の分散問題(％),後継者の株式の取得資金(％),相続税・贈与税の問題(％),借入金の返済(％),個人保証の問題(％),事業承継の社内体制が未整備(％),相談相手の不在(％),業界の将来性への不安(％),事業の引継先（M&A)が見つからない(％),その他(％),特になし(％),無回答(％)
,,今回調査（全体）,671,22.8,28.8,30.8,3.9,6.4,9.4,21.9,11,7.7,3.1,22.4,2.2,0.6,17.3,3.4
業種別,,食料品卸売業,211,21.8,33.6,27.5,4.3,6.6,9,21.3,10.4,7.6,3.3,22.3,1.9,0.5,16.1,2.8
業種別,,生鮮食品卸売業,117,18.8,31.6,28.2,3.4,8.5,7.7,23.1,10.3,6.8,2.6,24.8,0.9,0,16.2,2.6
業種別,,加工食品等卸売業,94,25.5,36.2,26.6,5.3,4.3,10.6,19.1,10.6,8.5,4.3,19.1,3.2,1.1,16,3.2
業種別,,衣料品関連卸売業,125,22.4,26.4,38.4,0.8,5.6,8,24,13.6,6.4,4,32,4.8,0.8,13.6,4
業種別,,住関連卸売業,76,28.9,31.6,22.4,2.6,6.6,10.5,22.4,9.2,6.6,3.9,18.4,0,1.3,18.4,6.6
業種別,,その他卸売業,253,22.1,24.9,32.4,5.5,6.3,10.3,20.9,10.3,9.1,2.4,19,2,0.4,19.8,2.8
従業者規模別,,1～5人,326,24.5,18.7,38.7,2.1,2.8,6.4,24.5,8.3,7.1,3.4,25.2,3.4,0.6,16.6,3.1
従業者規模別,,6～9人,98,18.4,40.8,22.4,2,6.1,7.1,23.5,14.3,7.1,4.1,20.4,2,1,17.3,6.1
従業者規模別,,10～49人,199,20.6,36.2,27.1,6.5,12.6,14.6,19.1,13.1,9,2.5,21.1,1,0.5,16.6,1.5
従業者規模別,,50人以上,36,33.3,41.7,8.3,8.3,5.6,11.1,11.1,13.9,5.6,0,11.1,0,0,22.2,8.3
取引形態別,一次卸,小売直取引卸,196,19.4,28.1,30.1,2,9.2,9.7,22.4,11.2,8.7,2.6,23.5,1.5,0,19.9,3.1
取引形態別,一次卸,他部門直取引卸,45,24.4,35.6,35.6,6.7,8.9,11.1,24.4,22.2,8.9,6.7,15.6,0,0,13.3,2.2
取引形態別,一次卸,元卸,141,27,34.8,24.8,7.1,6.4,9.9,22,16.3,8.5,2.8,17.7,3.5,0.7,18.4,5
取引形態別,二次卸,中間卸,74,20.3,24.3,32.4,6.8,0,5.4,20.3,5.4,9.5,1.4,14.9,4.1,1.4,18.9,6.8
取引形態別,二次卸,最終卸,116,28.4,26.7,34.5,1.7,5.2,8.6,17.2,6.9,3.4,6,29.3,1.7,0,14.7,2.6
取引形態別,その他,製造問屋,17,29.4,35.3,23.5,5.9,11.8,11.8,41.2,17.6,23.5,0,23.5,0,11.8,5.9,0
取引形態別,その他,その他卸,65,16.9,23.1,36.9,1.5,3.1,12.3,24.6,3.1,6.2,1.5,27.7,3.1,0,16.9,1.5
経常損益の変化別(前年同期比),,増益,63,25.4,34.9,15.9,4.8,7.9,11.1,15.9,12.7,4.8,0,11.1,1.6,1.6,25.4,3.2
経常損益の変化別(前年同期比),,横ばい,117,21.4,31.6,17.9,3.4,6.8,12.8,20.5,11.1,10.3,3.4,20.5,2.6,0,19.7,5.1
経常損益の変化別(前年同期比),,減益,466,23.4,27.7,36.5,3.9,6,8.8,23,11.4,7.9,3.6,24,2.4,0.6,15.7,3
経常損益の変化別(３年前),,増益,116,26.7,27.6,20.7,2.6,5.2,6,27.6,12.9,12.1,2.6,14.7,2.6,0,21.6,4.3
経常損益の変化別(３年前),,横ばい,209,21.1,31.1,25.4,6.2,6.2,14.8,15.8,9.6,7.7,2.4,20.6,1.9,1,21.1,4.3
経常損益の変化別(３年前),,減益,301,23.3,28.6,38.9,3,7.3,7.6,23.9,12.6,6.3,4,25.6,2.3,0.7,12.6,2
