表側１,表側２,表側３,回答企業数(件),不足(%),やや不足(%),適正(%),やや過剰(%),過剰(%),無回答(%)
,,"今回調査
（全体）",1019,14.5,29.7,49.7,2.8,0.5,2.7
業種別,,総合商品小売業,182,40.1,40.1,17.6,1.1,1.1,0.0
業種別,,生鮮食品小売業,71,11.3,21.1,60.6,4.2,0.0,2.8
業種別,,食料品関連小売業,217,8.3,24.9,59.0,3.2,0.5,4.1
業種別,,衣料品関連小売業,106,9.4,26.4,63.2,0.0,0.0,0.9
業種別,,住関連小売業,62,11.3,29.0,50.0,1.6,0.0,8.1
業種別,,その他小売業,367,7.9,30.0,54.2,4.4,0.5,3.0
従業者規模別,,１～２人,169,5.9,15.4,71.0,1.8,0.6,5.3
従業者規模別,,３～５人,326,7.4,22.7,61.7,3.1,1.2,4.0
従業者規模別,,６～19人,313,17.9,39.9,38.0,2.6,0.0,1.6
従業者規模別,,20人以上,170,31.8,40.0,24.7,3.5,0.0,0.0
年間売上高増減別（3年前）,,増加（５％以上）,169,18.3,40.8,37.9,1.8,0.6,0.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,296,14.2,38.9,41.6,2.4,0.3,2.7
年間売上高増減別（3年前）,,やや減少（10％未満）,221,14.5,21.3,58.4,2.3,0.5,3.2
年間売上高増減別（3年前）,,減少（20％未満）,169,16.6,19.5,56.2,2.4,1.2,4.1
年間売上高増減別（3年前）,,大幅減少（20％以上）,131,9.9,22.1,57.3,7.6,0.0,3.1
売上高経常利益率別,,黒字（プラス）,591,16.9,32.3,46.4,1.9,0.7,1.9
売上高経常利益率別,,赤字（マイナス）,347,11.8,25.9,53.0,4.9,0.3,4.0
経常損益の変化別（3年前）,,増益,209,16.3,36.4,42.6,3.3,0.0,1.4
経常損益の変化別（3年前）,,横ばい,329,13.4,29.5,50.5,1.5,1.5,3.6
経常損益の変化別（3年前）,,減益,433,15.5,26.3,51.5,3.9,0.0,2.8
