年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
第３次産業総合,99.5,98.6,100,101.4,102.6,104,104.9,98.5,100.3,101.6
情報通信業,99.3,99.6,100,101,102,102.9,104.2,102.2,104.6,106.5
物品賃貸業（自動車賃貸業を含む）,96.9,97.9,100,102.7,104.5,106.2,107.3,105.4,104.1,102.6
事業者向け関連サービス,97.7,98.4,100,102.8,106.1,107.1,108.8,106.1,107.1,107.8
不動産業,103.3,99.2,100,100.7,101,100.9,101.3,101,102.2,98.7
生活娯楽関連サービス,100.8,98.2,100,99.2,101.4,102,105.9,77.4,75.1,86
