表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(％),やや増加（10％未満）(％),ほぼ横ばい（±５％未満）(％),やや減少（10％未満）(％),大幅減少（10％以上）(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",767,3.8,12.6,45.6,20.9,13.4,0.0,3.7
業種別,,食料品卸売業,213,4.2,13.1,45.5,24.4,9.9,0.0,2.8
業種別,,生鮮食品卸売業,91,3.3,12.1,39.6,29.7,11.0,0.0,4.4
業種別,,加工食品等卸売業,122,4.9,13.9,50.0,20.5,9.0,0.0,1.6
業種別,,衣料品関連卸売業,111,3.6,9.9,39.6,18.0,21.6,0.0,7.2
業種別,,住関連卸売業,155,4.5,11.6,43.9,20.0,14.2,0.0,5.8
業種別,,その他卸売業,270,3.3,14.1,50.0,18.9,11.9,0.0,1.9
従業者規模別,,１～５人,406,1.5,8.4,42.1,24.1,19.2,0.0,4.7
従業者規模別,,６～９人,119,5.9,16.0,47.1,20.2,5.9,0.0,5.0
従業者規模別,,10～49人,192,6.3,17.7,51.0,17.2,6.8,0.0,1.0
従業者規模別,,50人以上,28,10.7,25.0,50.0,7.1,7.1,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,3.1,13.5,41.9,21.8,15.3,0.0,4.4
取引形態別,一次卸,他部門直取引卸,67,6.0,17.9,46.3,16.4,11.9,0.0,1.5
取引形態別,一次卸,元卸,127,4.7,15.0,52.0,16.5,7.9,0.0,3.9
取引形態別,二次卸,中間卸,93,1.1,7.5,52.7,20.4,16.1,0.0,2.2
取引形態別,二次卸,最終卸,131,3.1,12.2,45.0,26.0,10.7,0.0,3.1
取引形態別,その他,製造問屋,20,15.0,10.0,40.0,15.0,20.0,0.0,0.0
取引形態別,その他,その他卸,65,6.2,6.2,44.6,15.4,20.0,0.0,7.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,16.7,23.3,44.2,5.8,5.0,0.0,5.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,5.6,23.1,49.1,12.0,7.4,0.0,2.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,0.6,13.0,68.2,14.3,1.9,0.0,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,124,0.8,10.5,39.5,39.5,7.3,0.0,2.4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,0.4,3.0,33.9,27.0,31.3,0.0,4.3
売上高経常利益率別,,黒字（プラス）,462,5.8,13.9,49.1,19.7,7.4,0.0,4.1
売上高経常利益率別,,赤字（マイナス）,271,0.7,10.3,40.2,22.5,22.9,0.0,3.3
経常損益の変化別（3年前）,,増益,197,11.7,19.3,47.2,11.7,5.6,0.0,4.6
経常損益の変化別（3年前）,,横ばい,240,0.8,12.9,49.2,22.9,11.7,0.0,2.5
経常損益の変化別（3年前）,,減益,305,1.3,8.2,42.3,24.6,19.7,0.0,3.9
