表側,構成比
各種商品卸売業(%),11.3
繊維・衣服等卸売業(%),2.4
飲食料品卸売業(%),18.1
建築材料，鉱物・金属材料等卸売業(%),29.3
機械器具卸売業(%),24.0
その他の卸売業(%),14.8
年間商品販売額(百万円),156941226
