表側１,表側２,表側３,回答企業数(件),週休２日(％),週休１日(％),隔週１日(％),月間１日(％),不定休(％),年末年始のみ(％),年中無休(％)
,,今回調査（全体）,2003,14.1,48.6,0.8,0.6,11,4.4,11.8
業種別,,総合商品小売業,164,0.6,3,0,0,1.8,4.3,89.6
業種別,,生鮮食品小売業,113,14.2,71.7,0,0,5.3,0,0.9
業種別,,食料品関連小売業,511,16,56.2,1.4,0.6,8.6,3.5,4.3
業種別,,衣料品関連小売業,314,10.8,48.7,1.6,1,16.2,5.7,5.1
業種別,,住関連小売業,162,13,56.8,0,1.2,16,1.9,2.5
業種別,,その他小売業,737,17.5,48.2,0.7,0.5,12.2,5.7,6.2
従業者規模別,,1～2人,1059,15.4,53.4,1.2,0.3,14.4,2.1,3.4
従業者規模別,,3～5人,488,16.4,55.9,0.6,0.8,8.6,4.9,4.7
従業者規模別,,6～19人,272,11.4,34.6,0,1.5,4.4,8.8,32
従業者規模別,,20人以上,134,3,13.4,0,0.7,5.2,10.4,64.9
売上高規模別,,1千万円未満,884,15.7,51.1,0.9,0.3,15.2,3.1,3.8
売上高規模別,,1～3千万円未満,427,15.2,57.8,1.4,0.5,9.8,2.6,3
売上高規模別,,3～5千万円未満,186,14.5,58.1,1.6,1.1,7.5,4.3,6.5
売上高規模別,,5千万～1億円未満,142,15.5,43.7,0,1.4,7,8.5,13.4
売上高規模別,,1～3億円未満,202,6.4,27.2,0,0.5,4,6.9,50.5
売上高規模別,,3～5億円未満,49,4.1,20.4,0,0,6.1,6.1,59.2
売上高規模別,,5億円以上,48,6.3,18.8,0,2.1,4.2,25,39.6
