表側１,表側２,表側３,回答企業数(件),1店(％),2～4店(％),5店以上(％),無回答(％)
,,今回調査（全体）,2003,84.6,9,1.2,5.2
業種別,,総合商品小売業,164,64,31.1,1.8,3
業種別,,生鮮食品小売業,113,85,2.7,0,12.4
業種別,,食料品関連小売業,511,88.5,5.1,0.8,5.7
業種別,,衣料品関連小売業,314,83.4,9.6,1,6.1
業種別,,住関連小売業,162,92.6,1.9,0.6,4.9
業種別,,その他小売業,737,85.2,9.1,1.8,3.9
従業者規模別,,1～2人,1059,92.4,1.1,0.1,6.3
従業者規模別,,3～5人,488,89.1,7.8,0,3.1
従業者規模別,,6～19人,272,75,23.2,0.7,1.1
従業者規模別,,20人以上,134,33.6,47.8,15.7,3
