表側,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年
人口(千人),13190,13233,13310,13410,13532,13647,13754,13857,13952
増減率(％),0.21,0.33,0.58,0.76,0.91,0.85,0.79,0.75,0.68
