表側１,表側２,表側３,回答企業数(件),有(％),無(％),無回答(％)
,,今回調査（全体）,760,19.3,79.5,1.2
業種別,,食料品卸売業,237,11.4,86.9,1.7
業種別,,生鮮食品卸売業,126,9.5,88.9,1.6
業種別,,加工食品等卸売業,111,13.5,84.7,1.8
業種別,,衣料品関連卸売業,145,19.3,80,0.7
業種別,,住関連卸売業,83,30.1,69.9,0
業種別,,その他卸売業,288,22.2,76.4,1.4
