表側１,表側２,表側３,回答企業数(件),増加(5 ポイント以上)(％),ほぼ横ばい(±5ポイント未満)(％),やや減少(10ポイント未満)(％),減少(20ポイント未満)(％),大幅減少(20ポイント以上)(％),無回答(％)
,,今回調査（全体）,1875,3.3,29.4,22.2,24.5,14.9,5.7
業種別,,総合商品小売業,148,10.1,47.3,18.2,11.5,6.8,6.1
業種別,,生鮮食品小売業,105,5.7,27.6,27.6,20,9.5,9.5
業種別,,食料品関連小売業,483,3.1,28.2,25.3,24.4,12.2,6.8
業種別,,衣料品関連小売業,290,1.7,21,21.7,26.6,23.1,5.9
業種別,,住関連小売業,155,1.3,25.2,24.5,30.3,14.2,4.5
業種別,,その他小売業,692,2.6,31.2,19.8,26,15.9,4.5
従業者規模別,,1～2人,1000,1.8,23.8,22.3,28.1,17.6,6.4
従業者規模別,,3～5人,460,4.1,31.1,22,23.5,13.5,5.9
従業者規模別,,6～19人,254,6.7,41.3,21.3,19.7,7.9,3.1
従業者規模別,,20人以上,127,5.5,46.5,27.6,7.9,8.7,3.9
