表側１,表側２,表側３,回答企業数(件),常に見直し(％),定期的に見直し(％),随時必要に応じて(％),あまり行わない(％),その他(％),無回答(％)
,,今回調査（全体）,760,5.1,4.1,45.4,40.3,2.4,2.8
,,前回調査,823,5.2,4.6,45.8,40.9,1.7,1.7
業種別,,食料品卸売業,237,4.2,3.8,45.6,41.4,1.7,3.4
業種別,,生鮮食品卸売業,126,4,5.6,44.4,41.3,0,4.8
業種別,,加工食品等卸売業,111,4.5,1.8,46.8,41.4,3.6,1.8
業種別,,衣料品関連卸売業,145,5.5,4.8,54.5,31.7,2.1,1.4
業種別,,住関連卸売業,83,7.2,7.2,48.2,34.9,2.4,0
業種別,,その他卸売業,288,5.2,3.1,39.9,44.8,3.1,3.8
従業者規模別,,1～5人,399,3.5,3,35.8,49.9,3.8,4
従業者規模別,,6～9人,101,5.9,5.9,50.5,33.7,3,1
従業者規模別,,10～49人,208,7.2,5.8,57.2,28.4,0,1.4
従業者規模別,,50人以上,36,5.6,2.8,66.7,25,0,0
取引形態別,一次卸,小売直取引卸,219,6.4,5,46.1,39.7,0,2.7
取引形態別,一次卸,他部門直取引卸,50,2,2,50,38,6,2
取引形態別,一次卸,元卸,154,1.9,6.5,52.6,33.8,3.9,1.3
取引形態別,二次卸,中間卸,85,8.2,4.7,36.5,42.4,2.4,5.9
取引形態別,二次卸,最終卸,135,4.4,2.2,47.4,42.2,0.7,3
取引形態別,その他,製造問屋,19,15.8,0,42.1,42.1,0,0
取引形態別,その他,その他卸,77,5.2,1.3,37.7,45.5,6.5,3.9
売上高増減別(前年同期比),,増加,56,3.6,0,55.4,37.5,3.6,0
売上高増減別(前年同期比),,横ばい,108,2.8,4.6,48.1,40.7,0,3.7
売上高増減別(前年同期比),,減少,585,5.8,4.3,44.3,40.5,2.6,2.6
売上高増減別(３年前),,増加,136,2.9,2.9,58.1,33.8,1.5,0.7
売上高増減別(３年前),,横ばい,130,3.8,1.5,46.2,43.1,1.5,3.8
売上高増減別(３年前),,減少,443,5.9,5,41.8,41.5,2.5,3.4
経常損益の変化別(前年同期比),,増益,67,1.5,7.5,53.7,32.8,3,1.5
経常損益の変化別(前年同期比),,横ばい,124,3.2,2.4,46.8,44.4,0,3.2
経常損益の変化別(前年同期比),,減益,543,6.3,4.1,44.6,39.8,2.8,2.6
経常損益の変化別(３年前),,増益,128,4.7,5.5,45.3,39.1,2.3,3.1
経常損益の変化別(３年前),,横ばい,229,4.4,1.7,45,43.2,3.1,2.6
経常損益の変化別(３年前),,減益,351,5.7,5.1,45.3,39.3,2,2.6
