表側,増加率(%)
食料,12.6
住居,5.0
光熱・水道,0.9
家具・家事用品,15.1
被服及び履物,-20.4
保健医療,11.6
交通・通信,-1.0
教育,1.4
教養娯楽,-4.2
その他の消費支出,-12.3
