表側１,表側２,表側３,回答企業数(件),自社(法人)所有(％),経営者(個人)所有(％),賃借(第三者所有)(％),その他(％),無回答(％)
,,今回調査（全体）,2003,6.1,50.2,38.8,2.7,2.1
業種別,,総合商品小売業,164,3,12.8,76.2,6.7,1.2
業種別,,生鮮食品小売業,113,4.4,64.6,27.4,0.9,2.7
業種別,,食料品関連小売業,511,7,64.6,24.5,2,2
業種別,,衣料品関連小売業,314,5.7,46.5,43.9,1.9,1.9
業種別,,住関連小売業,162,4.9,61.1,26.5,3.1,4.3
業種別,,その他小売業,737,6.9,45.5,42.6,3,2
従業者規模別,,1～2人,1059,4.1,62.1,29,2.9,1.9
従業者規模別,,3～5人,488,6.8,53.1,36.1,1.6,2.5
従業者規模別,,6～19人,272,9.9,19.9,66.2,1.8,2.2
従業者規模別,,20人以上,134,9,9.7,73.9,6,1.5
創業年別,,1940年以前,266,9,72.2,13.5,3.4,1.9
創業年別,,1941～1950年,174,9.8,74.1,12.1,2.9,1.1
創業年別,,1951～1960年,267,8.6,73.8,13.1,1.9,2.6
創業年別,,1961～1970年,229,6.6,65.5,23.6,1.3,3.1
創業年別,,1971～1980年,218,7.3,55,32.6,1.4,3.7
創業年別,,1981～1990年,195,4.6,34.4,55.9,3.1,2.1
創業年別,,1991～2000年,183,3.8,22.4,69.4,3.3,1.1
創業年別,,2001～2010年,200,1.5,16.5,77,4,1
創業年別,,2011年以降,162,1.2,10.5,83.3,4.3,0.6
