表側１,表側２,表側３,回答企業数(件),4坪以下(％),5～9坪(％),10～19坪(％),20～29坪(％),30～49坪(％),50坪以上(％),無回答(％)
,,今回調査（全体）,2003,10.5,20.7,31.5,9.7,8.8,7.6,11.1
業種別,,総合商品小売業,164,0,0.6,1.2,6.1,39,40.9,12.2
業種別,,生鮮食品小売業,113,10.6,23.9,40.7,8,3.5,0.9,12.4
業種別,,食料品関連小売業,511,13.3,25.8,35.6,8.8,2.7,3.5,10.2
業種別,,衣料品関連小売業,314,9.9,23.6,35,10.2,5.4,4.5,11.5
業種別,,住関連小売業,162,6.8,27.2,24.7,15.4,9.9,5.6,10.5
業種別,,その他小売業,737,12.1,18.6,33.9,10,8.1,5.8,11.4
従業者規模別,,1～2人,1059,15.8,29.4,34.2,6.8,3,1.1,9.7
従業者規模別,,3～5人,488,7.2,15.6,38.7,16.8,8.4,3.1,10.2
従業者規模別,,6～19人,272,2.2,6.3,23.2,12.1,27.6,17.6,11
従業者規模別,,20人以上,134,0,0.7,2.2,4.5,19.4,54.5,18.7
