,,『増加』,『増加』,,『減少』,『減少』,,,
,,大幅(10％以上)増加,やや(10％未満)増加,ほぼ(±5%未満)横ばい,やや(10％未満)減少,大幅(10％以上)減少,３年前は未創業,無回答,ｎ
,今回調査（全体）,10,10.1,28.2,13.1,33.9,1.4,3.4,2348
業種別,情報・コンテンツ業,13.6,12.7,25.3,10.5,33.4,1.4,3.1,640
業種別,専門サービス業,9.6,8.8,28.9,13.8,32.9,1.7,4.3,820
業種別,技術サービス業,8.8,7.6,29.4,14.4,36.8,0.6,2.4,340
業種別,事業サービス業,7.1,10.3,30.8,14.8,33.5,1.4,2.2,507
特定10業種別,ソフトウェア業,17.1,15,29.7,9.1,25.2,1.4,2.4,286
特定10業種別,インターネット附随サービス業,22.6,9.7,19.4,3.2,35.5,4.8,4.8,62
特定10業種別,映像情報制作・配給業,5.9,13.2,20.6,16.2,39.7,0,4.4,68
特定10業種別,出版業,1.8,5.5,16.4,10.9,63.6,0,1.8,55
特定10業種別,税理士事務所,6.4,6.9,40.4,22.5,20.2,0.5,3.2,218
特定10業種別,デザイン業,7.7,4.8,17.3,13.5,54.8,0,1.9,104
特定10業種別,経営コンサルタント業,13.4,11.7,22.9,9.5,33,2.2,7.3,179
特定10業種別,建築設計業,11.1,6.7,29.4,13.3,37.2,0.6,1.7,180
特定10業種別,自動車整備業,7.4,9.3,33.3,22.2,27.8,0,0,54
特定10業種別,建物サービス業,4.5,9,43.2,19.8,21.6,0,1.8,111
従業者規模別,1～2人,6.8,6.9,26.8,12.6,39.4,2.3,5.3,971
従業者規模別,3～5人,9.9,8.9,28.3,12.7,36,1.2,3,573
従業者規模別,6～9人,9.2,11.6,33.2,15.6,27.6,0.8,2,250
従業者規模別,10～29人,13.6,13,30.1,13.9,28.8,0.3,0.3,316
従業者規模別,30人以上,21.4,21.9,25.7,11.4,18.1,0,1.4,210
年間売上高別,500万円未満,5.8,3.3,20.9,10.6,54.2,3,2.1,330
年間売上高別,500万～１千万円未満,4.1,6.2,29.2,12.7,43.7,0.9,3.2,339
年間売上高別,１～３千万円未満,8.7,7.4,30.9,13.9,31.8,2,5.4,541
年間売上高別,３～５千万円未満,9.4,12,29.7,17.3,27.4,1.5,2.6,266
年間売上高別,５千万～１億円未満,7.6,13,28.6,14.1,32.2,0.4,4,276
年間売上高別,１～３億円未満,14.2,15.5,33.3,11.8,23.6,0.6,0.9,330
年間売上高別,３～５億円未満,23.5,16,24.7,14.8,18.5,0,2.5,81
年間売上高別,５～10億円未満,29.5,22.1,17.9,10.5,16.8,1.1,2.1,95
年間売上高別,10億円以上,22.2,14.3,31.7,7.9,23.8,0,0,63
