表側,区部(千世帯),市町村部(千世帯)
2014年,4763,1936
2015年,4831,1953
2016年,4915,1975
2017年,4997,1997
2018年,5077,2020
2019年,5157,2041
2020年,5236,2063
2021年,5258,2083
2022年,5255,2100
2023年,5333,2118
