表側１,表側２,表側３,回答企業数(件),商店街組織（任意団体、商店街振興組合、事業協同組合）が形成されている(%),商店街組織は形成されていない(%),わからない(%),無回答(%)
,,今回調査（全体）,2141,52.4,36.0,8.4,3.2
,,前回調査,2003,54.2,34.1,9.9,1.8
業種別,,総合商品小売業,189,41.8,47.1,10.1,1.1
業種別,,生鮮食品小売業,134,59.7,35.1,4.5,0.7
業種別,,食料品関連小売業,535,55.5,38.9,4.7,0.9
業種別,,衣料品関連小売業,298,66.4,23.5,8.4,1.7
業種別,,住関連小売業,167,59.3,36.5,4.2,0.0
業種別,,その他小売業,773,47.6,38.3,12.7,1.4
所在地別,,都心,167,43.7,38.9,14.4,3.0
所在地別,,副都心,216,56.5,31.0,10.2,2.3
所在地別,,城東,546,48.2,41.8,7.3,2.7
所在地別,,城南,215,63.3,29.8,4.7,2.3
所在地別,,城西,324,62.7,28.1,5.9,3.4
所在地別,,城北,158,55.7,32.3,5.7,6.3
所在地別,,多摩,504,46.0,40.1,10.9,3.0
