表側１,表側２,表側３,回答企業数(件),自社(法人)所有(％),経営者(個人)所有(％),賃借(第三者所有)(％),その他(％),無回答(％)
,,今回調査（全体）,2003,4.4,42.9,47.2,2.6,2.8
業種別,,総合商品小売業,164,1.2,11.6,78.7,5.5,3
業種別,,生鮮食品小売業,113,3.5,53.1,38.9,0.9,3.5
業種別,,食料品関連小売業,511,4.7,54.6,36,2,2.7
業種別,,衣料品関連小売業,314,4.8,39.8,51.3,1.6,2.5
業種別,,住関連小売業,162,3.7,57.4,30.9,2.5,5.6
業種別,,その他小売業,737,5,38.4,51,3.3,2.3
従業者規模別,,1～2人,1059,3.1,52.2,39.4,2.6,2.6
従業者規模別,,3～5人,488,4.7,48.2,42.6,1.8,2.7
従業者規模別,,6～19人,272,6.3,14.3,72.1,2.9,4.4
従業者規模別,,20人以上,134,6.7,10.4,76.9,4.5,1.5
創業年別,,1940年以前,266,5.6,62,27.1,3.4,1.9
創業年別,,1941～1950年,174,7.5,60.9,28.7,2.3,0.6
創業年別,,1951～1960年,267,4.5,59.6,31.5,1.5,3
創業年別,,1961～1970年,229,4.4,59,29.7,1.3,5.7
創業年別,,1971～1980年,218,6.4,46.8,41.7,0.9,4.1
創業年別,,1981～1990年,195,3.6,33.3,55.4,4.6,3.1
創業年別,,1991～2000年,183,3.8,19.1,71,3.3,2.7
創業年別,,2001～2010年,200,1,14.5,79.5,3.5,1.5
創業年別,,2011年以降,162,0.6,8.6,86.4,3.1,1.2
