表側１,表側２,表側３,回答企業数(件),創業者(％),創業者親族出身（2代目以降）(％),従業員出身（2代目以降）(％),社外からの就任（2代目以降）(％),その他（2代目以降）(％),無回答(％)
,,今回調査（全体）,2003,41.6,48.2,2.5,0.5,1.3,5.7
,,前回調査,2189,33.5,48.4,3.2,0.7,4.2,9.9
業種別,,総合商品小売業,164,69.5,20.7,3.7,0,2.4,3.7
業種別,,生鮮食品小売業,113,31.9,51.3,2.7,0,0.9,13.3
業種別,,食料品関連小売業,511,33.1,57.5,2,0.4,0.6,6.5
業種別,,衣料品関連小売業,314,45.5,43.9,1.9,0,1.9,6.7
業種別,,住関連小売業,162,32.1,57.4,2.5,0,2.5,5.6
業種別,,その他小売業,737,43.3,47.2,2.8,1.2,1.2,4.2
従業者規模別,,1～2人,1059,40.6,49.8,2,0.3,1.3,6
従業者規模別,,3～5人,488,34.8,56.4,1.8,0.2,1.4,5.3
従業者規模別,,6～19人,272,52.2,36.8,4.8,1.1,0.7,4.4
従業者規模別,,20人以上,134,53,33.6,4.5,3,2.2,3.7
創業年別,,1940年以前,266,3.8,86.1,1.1,0.4,2.3,6.4
創業年別,,1941～1950年,174,5.7,89.7,1.1,0.6,0.6,2.3
創業年別,,1951～1960年,267,13.1,80.5,1.1,0.7,0.4,4.1
創業年別,,1961～1970年,229,31.9,51.5,2.6,0,0.4,13.5
創業年別,,1971～1980年,218,56.9,33.5,1.8,0,1.8,6
創業年別,,1981～1990年,195,66.7,25.1,3.1,0,0.5,4.6
創業年別,,1991～2000年,183,71.6,14.8,3.8,1.6,2.7,5.5
創業年別,,2001～2010年,200,81,10.5,4.5,0.5,1.5,2
創業年別,,2011年以降,162,78.4,7.4,4.9,1.9,2.5,4.9
