学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,17,187,3,x,x,7,88,0.5
高校卒,3,21,14,191,16,183,1,16,289,1.5
高校卒,5,23,14,202,16,390,1.9,16,567,2.8
高校卒,10,28,15,229,17,919,4,16,1334,5.8
高校卒,15,33,14,247,16,1908,7.7,16,2469,10
高校卒,20,38,14,268,16,3008,11.2,16,3688,13.8
高校卒,25,43,14,285,16,4615,16.2,16,5390,18.9
高校卒,30,48,13,314,15,6154,19.6,15,6996,22.3
高校卒,35,53,13,335,15,7328,21.9,15,8292,24.8
高校卒,37,55,14,356,15,8022,22.5,15,9059,25.4
高校卒,定年,定年,15,359,-,-,-,16,9958,27.7
高専・短大卒,1,21,12,192,4,x,x,7,92,0.5
高専・短大卒,3,23,8,199,11,151,0.8,11,256,1.3
高専・短大卒,5,25,8,210,11,304,1.4,11,498,2.4
高専・短大卒,10,30,8,229,11,794,3.5,11,1213,5.3
高専・短大卒,15,35,8,256,11,1523,5.9,11,2196,8.6
高専・短大卒,20,40,8,276,11,2466,8.9,11,3330,12.1
高専・短大卒,25,45,8,301,11,3644,12.1,11,4775,15.9
高専・短大卒,30,50,7,317,10,4629,14.6,10,5852,18.5
高専・短大卒,35,55,8,342,10,5650,16.5,10,7123,20.8
高専・短大卒,定年,定年,8,334,-,-,-,9,8153,24.4
大学卒,1,23,16,205,6,46,0.2,10,114,0.6
大学卒,3,25,13,217,15,170,0.8,16,304,1.4
大学卒,5,27,13,228,15,344,1.5,16,588,2.6
大学卒,10,32,13,259,15,960,3.7,16,1508,5.8
大学卒,15,37,12,282,14,1695,6,15,2414,8.6
大学卒,20,42,12,312,14,2840,9.1,15,3850,12.3
大学卒,25,47,11,338,13,4077,12.1,14,5288,15.6
大学卒,30,52,11,366,13,5343,14.6,14,6862,18.7
大学卒,33,55,12,381,13,6071,15.9,14,7768,20.4
大学卒,定年,定年,13,582,-,-,-,12,9044,15.5
