,集計企業数（社）,労働組合あり（社）,労働組合なし（社）,無回答（社）
調査産業計,876,63,813,0
建設業,71,4,67,0
製造業,207,27,180,0
情報通信業,58,3,55,0
運輸業，郵便業,42,8,34,0
卸売業，小売業,180,4,176,0
金融業，保険業,27,1,26,0
不動産業，物品賃貸業,16,1,15,0
学術研究，専門・技術サービス業,57,2,55,0
宿泊業，飲食サービス業,43,4,39,0
生活関連サービス業，娯楽業,34,3,31,0
教育，学習支援業(学校教育を除く）,30,3,27,0
医療，福祉,57,0,57,0
サービス業（他に分類されないもの）,54,3,51,0
１０～４９　人,585,25,560,0
５０～９９　人,188,22,166,0
１００～２９９　人,103,16,87,0
