表側１,増加率(％)
食料,8.7
住居,-8
光熱・水道,-2.6
家具・家事用品,10.5
被服及び履物,-11.5
保健医療,8.1
交通・通信,3.7
教育,1.7
教養娯楽,-7.1
その他の消費支出,-14.4
