表側１,表側２,表側３,回答企業数(件),リアルタイムでの在庫管理(％),需要予測精度の向上(％),受発注業務の迅速化(％),発送のリードタイムの短縮(％),在庫の温度・品質管理(％),流通加工機能の向上(％),営業部門と物流部門の連携の強化(％),業務改善に取り組む人材育成(％),専門の部署・担当者の設置(％),物流情報システムの導入・改廃(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,760,21.6,17.4,24.2,6.8,13.8,3.8,10.3,14.1,3.3,5.7,2.1,36.3,3.9
業種別,,食料品卸売業,237,23.6,18.1,26.6,8,31.2,4.6,12.2,17.3,4.6,5.5,1.3,23.2,3.8
業種別,,生鮮食品卸売業,126,25.4,18.3,25.4,7.1,34.9,6.3,10.3,16.7,5.6,4.8,0.8,23,4
業種別,,加工食品等卸売業,111,21.6,18,27.9,9,27,2.7,14.4,18,3.6,6.3,1.8,23.4,3.6
業種別,,衣料品関連卸売業,145,23.4,13.8,22.8,8.3,2.8,3.4,7.6,12.4,3.4,6.9,3.4,41.4,5.5
業種別,,住関連卸売業,83,18.1,15.7,24.1,8.4,1.2,2.4,12,12,6,6,2.4,48.2,4.8
業種別,,その他卸売業,288,19.8,18.4,22.9,4.9,9,3.8,8.7,12.5,1.4,4.9,2.1,41.7,3.1
従業者規模別,,1～5人,399,15.5,10.8,17.5,5.3,12.3,2,3,4.8,1,2.5,2,47.9,5
従業者規模別,,6～9人,101,22.8,21.8,26.7,6.9,14.9,5,6.9,16.8,8.9,5,2,32.7,2
従業者規模別,,10～49人,208,31.3,24.5,34.1,9.1,16.8,4.8,21.2,26.4,3.8,8.2,1.9,21.2,3.8
従業者規模別,,50人以上,36,27.8,38.9,38.9,11.1,13.9,13.9,41.7,36.1,5.6,30.6,5.6,5.6,0
取引形態別,一次卸,小売直取引卸,219,26.9,19.2,27.4,6.4,16,4.1,10,12.8,2.7,5.5,3.2,32,3.2
取引形態別,一次卸,他部門直取引卸,50,16,16,28,6,6,2,8,14,2,6,2,38,2
取引形態別,一次卸,元卸,154,24,19.5,20.8,7.8,8.4,5.8,10.4,16.9,3.2,8.4,2.6,35.1,4.5
取引形態別,二次卸,中間卸,85,15.3,14.1,18.8,7.1,14.1,0,9.4,10.6,2.4,4.7,0,36.5,8.2
取引形態別,二次卸,最終卸,135,22.2,16.3,29.6,8.9,19.3,4.4,11.1,17.8,4.4,5.2,0.7,32.6,2.2
取引形態別,その他,製造問屋,19,26.3,36.8,15.8,5.3,10.5,0,21.1,10.5,5.3,10.5,0,31.6,10.5
取引形態別,その他,その他卸,77,11.7,11.7,22.1,3.9,14.3,3.9,7.8,9.1,3.9,2.6,3.9,54.5,1.3
売上高増減別(前年同期比),,増加,56,26.8,32.1,33.9,7.1,10.7,1.8,16.1,16.1,3.6,12.5,5.4,33.9,1.8
売上高増減別(前年同期比),,横ばい,108,17.6,14.8,30.6,6.5,15.7,6.5,11.1,13,2.8,8.3,0.9,36.1,1.9
売上高増減別(前年同期比),,減少,585,21.7,16.4,22.4,7,13.7,3.6,9.7,14,3.4,4.6,2.1,36.4,4.4
売上高増減別(３年前),,増加,136,25.7,27.2,34.6,10.3,17.6,6.6,20.6,19.1,5.1,8.8,2.9,18.4,1.5
売上高増減別(３年前),,横ばい,130,20,13.8,22.3,3.8,13.1,3.1,8.5,13.1,3.1,6.2,4.6,40,3.1
売上高増減別(３年前),,減少,443,20.8,15.8,22.6,7,12.2,3.6,8.1,13.3,2.7,5.2,1.4,39.3,5.2
経常損益の変化別(前年同期比),,増益,67,32.8,25.4,35.8,6,7.5,3,13.4,16.4,7.5,9,3,29.9,1.5
経常損益の変化別(前年同期比),,横ばい,124,16.9,13.7,25.8,5.6,14.5,4,9.7,12.9,1.6,8.1,2.4,37.1,1.6
経常損益の変化別(前年同期比),,減益,543,21.7,17.1,22.5,7.4,14.2,4.1,10.3,14.2,3.1,4.8,2,36.6,4.6
経常損益の変化別(３年前),,増益,128,19.5,21.9,25.8,5.5,14.1,7.8,10.2,11.7,3.9,7,2.3,28.1,5.5
経常損益の変化別(３年前),,横ばい,229,21.8,14.8,24.9,5.2,11.8,2.6,9.2,12.7,2.2,4.8,3.1,40.2,3.5
経常損益の変化別(３年前),,減益,351,22.5,17.9,24.5,9.1,14.8,3.4,11.4,16,3.4,6.6,1.4,36.5,3.7
