規模,職種,高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
規模別　[１０～４９人]　計,職種計,192893,202632,203652,215406
規模別　[１０～４９人]　計,営業販売系,190562,201918,202154,215682
規模別　[１０～４９人]　計,事務系,190441,199905,201417,213947
規模別　[１０～４９人]　計,技術系,193670,203053,203881,218490
規模別　[１０～４９人]　計,生産系,192580,204135,205519,217564
規模別　[５０～９９人]　計,職種計,187965,198469,198194,214256
規模別　[５０～９９人]　計,営業販売系,184618,198251,196920,214365
規模別　[５０～９９人]　計,事務系,183935,195060,194281,210118
規模別　[５０～９９人]　計,技術系,188171,197174,195502,213513
規模別　[５０～９９人]　計,生産系,184781,196164,191750,207379
規模別　[１００～２９９人]　計,職種計,186585,200579,200509,219283
規模別　[１００～２９９人]　計,営業販売系,186863,201842,201562,220197
規模別　[１００～２９９人]　計,事務系,181162,194567,194918,217544
規模別　[１００～２９９人]　計,技術系,180960,195403,195718,216176
規模別　[１００～２９９人]　計,生産系,180622,193154,192712,212824
