表側１,表側２,表側３,回答企業数(件),1～2人(％),3～5人(％),6～19人(％),20人以上(％),無回答(％)
,,今回調査（全体）,2003,52.9,24.4,13.6,6.7,2.5
,,前回調査,2189,52.2,23.7,13.1,6.5,4.6
業種別,,総合商品小売業,164,4.3,6.1,40.9,47,1.8
業種別,,生鮮食品小売業,113,55.8,27.4,8.8,0.9,7.1
業種別,,食料品関連小売業,511,57.1,29.5,8.2,2.5,2.5
業種別,,衣料品関連小売業,314,64.6,24.2,5.7,2.2,3.2
業種別,,住関連小売業,162,58,34,7.4,0.6,0
業種別,,その他小売業,737,54.3,22.3,16.6,4.7,2.2
