区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,3420,40.9,10.3,405110,11584,21484,6221416,2639,42.7,11.4,429120,11968,22777,6559945,781,35,6.5,324769,10289,17330,4843554
建設業,110,47,12.3,441061,9310,45068,7078952,106,47,12.6,446455,9388,46861,7182744,4,x,x,x,x,x,x
製造業,741,42.7,13.2,384401,13403,19258,5787952,623,44.1,14.1,403440,14095,19550,6100347,118,35.6,8.2,283884,9747,17750,3951838
情報通信業,259,38,7.7,451108,8384,25809,7118968,176,39.4,8.7,484909,9163,21024,7255986,83,35,5.7,387672,6733,36227,6874132
運輸業，郵便業,166,51.8,12.4,419964,4650,34404,5130376,166,51.8,12.4,419964,4650,34404,5130376,-,-,-,-,-,-,-
卸売業，小売業,756,41.7,10.8,364610,11596,20634,5348803,559,43.1,12.3,389342,12126,23600,5699893,197,37.6,6.5,289292,10092,11997,3965631
金融業，保険業,294,44.6,10.1,556605,13601,34581,8803742,245,45.6,10.1,549682,13595,34115,8599794,49,39.9,10.4,591221,13634,36911,9841611
不動産業，物品賃貸業,444,34.2,7.4,416415,10354,12025,7756466,355,36.2,8.5,449232,11110,13136,8445087,89,26.3,3.2,286622,7340,7594,4239578
学術研究，専門・技術サービス業,191,38.1,7.2,474068,12784,11363,6567048,132,39.5,7.7,521669,13095,10826,7328907,59,35.1,6.1,369185,12087,12537,4957081
宿泊業，飲食サービス業,112,31,4.1,287950,12026,12800,3669370,55,34.4,4.5,284344,12752,15696,3856653,57,27.8,3.7,291700,11325,10006,3487437
生活関連サービス業，娯楽業,203,40.7,11.2,339555,13525,21734,4691358,115,42.7,13.2,373609,13115,27384,5172921,88,38.2,8.6,288473,14062,14350,3858827
教育，学習支援業（学校教育を除く）,65,36.1,8,309311,10858,25190,4528730,36,36.4,8.6,327156,11634,28503,4813011,29,35.9,7.2,285518,9894,21078,4157930
医療，福祉,37,38.9,7.5,346801,11858,28271,5048358,31,40.2,8,355650,11778,26986,5333800,6,32.3,5,293706,12272,34697,2978900
サービス業（他に分類されないもの）,42,47.2,15.3,406909,16155,45921,6050833,40,47.8,15.6,413475,16163,43603,6162466,2,x,x,x,x,x,x
