表側１,表側２,表側３,回答企業数(件),加盟している(%),加盟していない(%),無回答(%)
,,今回調査（全体）,1122,84.6,15.0,0.4
,,前回調査,1086,83.3,16.1,0.6
業種別,,総合商品小売業,79,79.7,20.3,0.0
業種別,,生鮮食品小売業,80,90.0,8.8,1.3
業種別,,食料品関連小売業,297,84.5,15.2,0.3
業種別,,衣料品関連小売業,198,88.9,10.6,0.5
業種別,,住関連小売業,99,79.8,20.2,0.0
業種別,,その他小売業,368,83.4,16.0,0.5
従業者規模別,,１～２人,534,81.5,18.0,0.6
従業者規模別,,３～５人,289,89.3,10.4,0.3
従業者規模別,,６～19人,176,85.8,14.2,0.0
従業者規模別,,20人以上,77,87.0,11.7,1.3
創業時期別,,1940年以前,122,89.3,9.8,0.8
創業時期別,,1941～1950年,99,92.9,6.1,1.0
創業時期別,,1951～1960年,194,91.8,8.2,0.0
創業時期別,,1961～1970年,104,87.5,12.5,0.0
創業時期別,,1971～1980年,116,88.8,10.3,0.9
創業時期別,,1981～1990年,94,83.0,17.0,0.0
創業時期別,,1991～2000年,126,69.8,28.6,1.6
創業時期別,,2001～2010年,118,78.8,21.2,0.0
創業時期別,,2011年以降,98,73.5,26.5,0.0
