年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
第３次産業総合,100.2,99.6,100,100.6,101.5,102.8,103.1,96,97.4,99.1
情報通信業,99,99.9,100,101.4,102.6,104.6,105.6,102.8,104.4,105.4
物品賃貸業（自動車賃貸業を含む）,96.8,97.9,100,102.7,104.6,106.4,107.5,105.3,104.1,102.8
事業者向け関連サービス,99.4,98,100,103.4,105.6,106.7,107.5,102.4,103.4,105.3
不動産業,99.8,98.7,100,101,101.4,101.8,102.1,101.4,101.3,99.1
生活娯楽関連サービス,101.3,100.4,100,98.3,97.9,97.4,98.7,74.1,73.2,82.9
