表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩(％),無回答(％)
,,今回調査（全体）,2003,8,10.3,23.7,10.3,17.7,6.4,23.1,0.5
,,前回調査,2189,7.5,9.6,25.2,10.2,15.7,7.3,23.5,0.9
業種別,,総合商品小売業,164,9.1,11.6,28.7,11,13.4,3.7,22,0.6
業種別,,生鮮食品小売業,113,6.2,6.2,31.9,9.7,17.7,5.3,20.4,2.7
業種別,,食料品関連小売業,511,5.7,7.8,27,10.2,17.8,8.4,23.1,0
業種別,,衣料品関連小売業,314,8.3,13.1,20.1,14.3,18.5,7.3,17.5,1
業種別,,住関連小売業,162,6.8,7.4,22.8,11.7,14.2,6.2,30.2,0.6
業種別,,その他小売業,737,9.8,11.7,20.9,8.3,19,5.6,24.6,0.3
