表側１,表側２,表側３,回答企業数(件),創業者(%),創業者親族出身（二代目以降）(%),従業員出身（二代目以降）(%),企業外からの就任（二代目以降）(%),その他(%),無回答(%)
,,"今回調査
（全体）",2141,38.3,51.8,3.7,0.8,1.0,4.4
,,前回調査,2003,41.6,48.2,2.5,0.5,1.3,5.7
業種別,,総合商品小売業,189,62.4,27.5,4.8,2.1,1.1,2.1
業種別,,生鮮食品小売業,134,22.4,64.2,5.2,0.7,0.7,6.7
業種別,,食料品関連小売業,535,29.7,64.3,1.3,0.7,0.7,3.2
業種別,,衣料品関連小売業,298,42.3,47.3,3.4,1.0,1.0,5.0
業種別,,住関連小売業,167,33.5,56.3,3.0,0.6,0.6,6.0
業種別,,その他小売業,773,41.0,47.5,5.0,0.6,1.4,4.4
従業者規模別,,１～２人,1066,38.4,53.8,1.7,0.3,0.8,5.1
従業者規模別,,３～５人,486,30.5,58.4,4.3,0.8,0.8,5.1
従業者規模別,,６～19人,336,46.4,42.0,7.1,1.2,1.2,2.1
従業者規模別,,20人以上,170,43.5,42.9,6.5,3.5,1.8,1.8
創業時期別,,1940年以前,186,2.2,93.0,1.1,0.0,1.1,2.7
創業時期別,,1941～1950年,166,2.4,92.8,1.2,0.0,0.0,3.6
創業時期別,,1951～1960年,297,4.7,89.2,1.3,1.0,0.0,3.7
創業時期別,,1961～1970年,211,25.1,63.5,5.2,0.5,0.5,5.2
創業時期別,,1971～1980年,242,39.3,44.2,5.4,1.7,1.7,7.9
創業時期別,,1981～1990年,201,54.7,34.3,4.0,0.5,2.0,4.5
創業時期別,,1991～2000年,250,69.2,20.0,5.6,2.0,0.8,2.4
創業時期別,,2001～2010年,270,69.6,20.7,3.0,0.7,1.9,4.1
創業時期別,,2011年以降,205,72.7,15.1,7.3,0.5,1.0,3.4
