年,月,全体,卸売業,小売業
2011年,1月,-37,-39,-52
2011年,2月,-35,-35,-56
2011年,3月,-54,-59,-61
2011年,4月,-57,-55,-75
2011年,5月,-53,-55,-74
2011年,6月,-46,-48,-62
2011年,7月,-44,-49,-61
2011年,8月,-41,-43,-58
2011年,9月,-41,-46,-62
2011年,10月,-40,-48,-51
2011年,11月,-40,-44,-60
2011年,12月,-38,-42,-50
2012年,1月,-39,-39,-55
2012年,2月,-37,-44,-55
2012年,3月,-30,-35,-51
2012年,4月,-36,-38,-53
2012年,5月,-36,-38,-51
2012年,6月,-37,-41,-54
2012年,7月,-38,-35,-53
2012年,8月,-42,-46,-55
2012年,9月,-43,-42,-64
2012年,10月,-41,-46,-54
2012年,11月,-41,-45,-52
2012年,12月,-37,-43,-50
2013年,1月,-38,-42,-43
2013年,2月,-35,-41,-47
2013年,3月,-30,-31,-46
2013年,4月,-29,-31,-40
2013年,5月,-32,-35,-49
2013年,6月,-37,-41,-48
2013年,7月,-33,-38,-48
2013年,8月,-36,-36,-58
2013年,9月,-30,-32,-52
2013年,10月,-28,-22,-53
2013年,11月,-24,-24,-41
2013年,12月,-24,-24,-44
2014年,1月,-25,-22,-43
2014年,2月,-27,-23,-48
2014年,3月,-13,-2,-30
2014年,4月,-32,-35,-47
2014年,5月,-29,-32,-50
2014年,6月,-31,-31,-56
2014年,7月,-30,-29,-48
2014年,8月,-36,-41,-52
2014年,9月,-29,-34,-40
2014年,10月,-27,-26,-48
2014年,11月,-35,-39,-53
2014年,12月,-36,-41,-48
2015年,1月,-36,-40,-52
2015年,2月,-35,-42,-48
2015年,3月,-35,-41,-49
2015年,4月,-27,-33,-37
2015年,5月,-27,-29,-36
2015年,6月,-24,-26,-37
2015年,7月,-29,-32,-46
2015年,8月,-33,-38,-44
2015年,9月,-33,-35,-42
2015年,10月,-25,-23,-38
2015年,11月,-30,-31,-46
2015年,12月,-31,-34,-44
2016年,1月,-34,-39,-49
2016年,2月,-34,-34,-40
2016年,3月,-35,-37,-49
2016年,4月,-31,-35,-48
2016年,5月,-34,-42,-39
2016年,6月,-35,-41,-44
2016年,7月,-36,-46,-49
2016年,8月,-33,-38,-48
2016年,9月,-33,-38,-51
2016年,10月,-34,-41,-45
2016年,11月,-28,-28,-39
2016年,12月,-30,-36,-46
2017年,1月,-31,-36,-44
2017年,2月,-30,-32,-42
2017年,3月,-33,-35,-51
2017年,4月,-26,-31,-39
2017年,5月,-28,-32,-43
2017年,6月,-24,-27,-37
2017年,7月,-25,-24,-43
2017年,8月,-23,-25,-39
2017年,9月,-22,-28,-35
2017年,10月,-28,-30,-53
2017年,11月,-20,-22,-38
2017年,12月,-22,-24,-37
2018年,1月,-27,-27,-49
2018年,2月,-26,-23,-47
2018年,3月,-29,-31,-48
2018年,4月,-23,-25,-41
2018年,5月,-21,-21,-46
2018年,6月,-23,-22,-42
2018年,7月,-25,-22,-42
2018年,8月,-23,-21,-41
2018年,9月,-28,-28,-47
2018年,10月,-23,-22,-39
2018年,11月,-22,-18,-43
2018年,12月,-29,-29,-43
2019年,1月,-32,-33,-49
2019年,2月,-31,-32,-51
2019年,3月,-37,-37,-57
2019年,4月,-25,-20,-46
2019年,5月,-31,-32,-54
2019年,6月,-33,-34,-47
2019年,7月,-31,-32,-47
2019年,8月,-27,-32,-38
2019年,9月,-21,-14,-33
2019年,10月,-40,-40,-63
2019年,11月,-36,-38,-52
2019年,12月,-35,-38,-51
2020年,1月,-32,-32,-50
2020年,2月,-41,-44,-53
2020年,3月,-57,-57,-75
2020年,4月,-72,-75,-82
2020年,5月,-69,-71,-72
2020年,6月,-62,-66,-61
2020年,7月,-64,-67,-65
2020年,8月,-57,-59,-57
2020年,9月,-60,-66,-61
2020年,10月,-51,-56,-48
2020年,11月,-53,-56,-60
2020年,12月,-55,-56,-66
2021年,1月,-50,-55,-65
2021年,2月,-49,-53,-65
2021年,3月,-44,-46,-59
2021年,4月,-47,-42,-63
2021年,5月,-44,-41,-62
2021年,6月,-40,-37,-64
2021年,7月,-42,-41,-67
2021年,8月,-45,-35,-68
2021年,9月,-44,-44,-58
2021年,10月,-36,-37,-55
2021年,11月,-36,-40,-54
2021年,12月,-35,-33,-52
2022年,1月,-40,-39,-59
2022年,2月,-43,-44,-56
2022年,3月,-38,-41,-50
2022年,4月,-36,-40,-52
2022年,5月,-29,-28,-44
2022年,6月,-27,-22,-47
2022年,7月,-35,-37,-56
2022年,8月,-30,-29,-47
2022年,9月,-33,-29,-55
2022年,10月,-30,-32,-39
2022年,11月,-32,-28,-53
2022年,12月,-32,-28,-51
2023年,1月,-26,-22,-43
2023年,2月,-26,-22,-39
2023年,3月,-20,-13,-36
2023年,4月,-20,-15,-31
2023年,5月,-18,-12,-31
2023年,6月,-23,-20,-36
2023年,7月,-24,-23,-31
2023年,8月,-27,-29,-40
2023年,9月,-27,-25,-39
2023年,10月,-26,-28,-33
2023年,11月,-31,-32,-32
2023年,12月,-28,-25,-41
