表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(%),やや増加（10％未満）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),大幅減少（10％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,1.9,12.1,51.7,18.7,12.3,0.3,3.1
業種別,,総合商品小売業,189,2.1,24.9,63.5,2.6,2.6,0.0,4.2
業種別,,生鮮食品小売業,134,0.0,10.4,50.0,16.4,19.4,0.0,3.7
業種別,,食料品関連小売業,535,1.7,8.4,54.0,21.1,11.0,0.2,3.6
業種別,,衣料品関連小売業,298,1.0,9.1,43.6,24.5,17.8,0.3,3.7
業種別,,住関連小売業,167,1.8,6.0,56.3,19.2,13.8,0.0,3.0
業種別,,その他小売業,773,2.7,14.4,49.4,19.3,11.4,0.5,2.3
従業者規模別,,１～２人,1066,0.9,7.4,46.2,23.5,18.7,0.5,2.9
従業者規模別,,３～５人,486,2.5,12.3,54.9,19.3,7.2,0.0,3.7
従業者規模別,,６～19人,336,3.6,18.5,63.7,8.0,2.4,0.3,3.6
従業者規模別,,20人以上,170,4.1,24.7,60.0,7.1,1.2,0.0,2.9
年間売上高増減別（3年前）,,増加（５％以上）,227,7.9,27.3,56.4,4.8,0.9,0.0,2.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,1.4,16.5,66.6,10.2,2.2,0.0,3.1
年間売上高増減別（3年前）,,やや減少（10％未満）,450,0.7,10.7,58.4,23.1,5.6,0.0,1.6
年間売上高増減別（3年前）,,減少（20％未満）,434,1.4,7.6,45.9,29.7,14.5,0.0,0.9
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,1.6,5.4,33.3,21.8,33.9,0.0,4.0
売上高経常利益率別,,黒字（プラス）,1093,2.2,15.3,54.7,17.6,6.9,0.3,3.1
売上高経常利益率別,,赤字（マイナス）,838,1.3,8.5,47.7,21.5,17.9,0.2,2.9
経常損益の変化別（3年前）,,増益,316,4.1,17.1,56.0,16.1,4.7,0.0,1.9
経常損益の変化別（3年前）,,横ばい,702,1.6,13.8,55.8,16.4,9.4,0.0,3.0
経常損益の変化別（3年前）,,減益,999,1.6,9.5,48.0,22.1,16.4,0.0,2.3
