年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
サービス業,98.5,99.2,100,102.1,105.1,105.6,107.5,100.3,100.6,103.4
対個人サービス業,101.6,102.3,100,98.9,100.6,99.1,102.3,74.8,72.6,85.1
対事業所サービス業,97.8,98.5,100,102.8,106,107,108.7,105.9,106.7,107.4
