表側１,表側２,表側３,回答企業数(件),販売している(％),今後販売する予定(％),販売していたが中止した(％),販売予定なし(％),無回答(％)
,,"今回調査
（全体）",767,36.5,4.0,2.3,52.8,4.3
,,前回調査,760,35.0,6.4,2.8,51.4,4.3
業種別,,食料品卸売業,213,35.7,4.7,1.9,55.4,2.3
業種別,,生鮮食品卸売業,91,35.2,5.5,3.3,51.6,4.4
業種別,,加工食品等卸売業,122,36.1,4.1,0.8,58.2,0.8
業種別,,衣料品関連卸売業,111,38.7,6.3,3.6,44.1,7.2
業種別,,住関連卸売業,155,25.2,3.2,3.2,59.4,9.0
業種別,,その他卸売業,270,41.1,3.3,1.9,51.5,2.2
従業者規模別,,１～５人,406,32.5,4.7,2.2,54.7,5.9
従業者規模別,,６～９人,119,45.4,3.4,5.0,42.0,4.2
従業者規模別,,10～49人,192,38.5,3.6,1.6,55.2,1.0
従業者規模別,,50人以上,28,50.0,3.6,0.0,46.4,0.0
取引形態別,一次卸,小売直取引卸,229,42.4,3.9,3.1,45.4,5.2
取引形態別,一次卸,他部門直取引卸,67,20.9,7.5,0.0,70.1,1.5
取引形態別,一次卸,元卸,127,38.6,3.9,0.8,52.0,4.7
取引形態別,二次卸,中間卸,93,33.3,5.4,2.2,55.9,3.2
取引形態別,二次卸,最終卸,131,37.4,4.6,2.3,53.4,2.3
取引形態別,その他,製造問屋,20,25.0,0.0,10.0,55.0,10.0
取引形態別,その他,その他卸,65,30.8,0.0,3.1,58.5,7.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,27.5,5.0,4.2,58.3,5.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,38.0,4.6,3.7,48.1,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,32.5,3.9,0.0,60.4,3.2
年間売上高増減別（3年前）,,やや減少（10％未満）,124,46.8,3.2,3.2,43.5,3.2
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,36.1,3.9,2.1,53.2,4.7
