表側１,表側２,表側３,回答企業数(件),1～9(％),10～29(％),30～49(％),50～99(％),100～299(％),300以上(％),無回答(％)
,,今回調査（全体）,760,41.2,27.1,10.4,12,5.7,2.1,1.6
,,前回調査,823,43.5,27.7,9.5,9.4,4.9,1.5,3.6
業種別,,食料品卸売業,237,45.6,28.3,9.7,10.5,2.1,1.7,2.1
業種別,,生鮮食品卸売業,126,48.4,30.2,8.7,7.9,0.8,0.8,3.2
業種別,,加工食品等卸売業,111,42.3,26.1,10.8,13.5,3.6,2.7,0.9
業種別,,衣料品関連卸売業,145,42.1,29.7,13.8,9,2.8,1.4,1.4
業種別,,住関連卸売業,83,33.7,28.9,10.8,13.3,8.4,4.8,0
業種別,,その他卸売業,288,39.6,24,9,14.2,9.4,2.1,1.7
従業者規模別,,1～5人,399,59.4,27.8,5.5,3.3,1,0.5,2.5
従業者規模別,,6～9人,101,29.7,33.7,17.8,17.8,1,0,0
従業者規模別,,10～49人,208,17.8,25,14.4,23.1,14.4,4.8,0.5
従業者規模別,,50人以上,36,5.6,19.4,19.4,25,19.4,11.1,0
取引形態別,一次卸,小売直取引卸,219,47,26.9,11.4,6.8,4.6,1.8,1.4
取引形態別,一次卸,他部門直取引卸,50,24,36,8,12,20,0,0
取引形態別,一次卸,元卸,154,39,26,13,13.6,5.2,1.3,1.9
取引形態別,二次卸,中間卸,85,44.7,28.2,9.4,8.2,5.9,2.4,1.2
取引形態別,二次卸,最終卸,135,40,27.4,8.1,15.6,3.7,4.4,0.7
取引形態別,その他,製造問屋,19,31.6,26.3,10.5,21.1,10.5,0,0
取引形態別,その他,その他卸,77,40.3,26,7.8,14.3,3.9,2.6,5.2
売上高規模別,,5千万円未満,227,70,22.9,3.5,0.4,0,0,3.1
売上高規模別,,5千万～1億円未満,95,46.3,42.1,5.3,3.2,2.1,0,1.1
売上高規模別,,1～3億円未満,146,38.4,29.5,14.4,15.1,1.4,0.7,0.7
売上高規模別,,3～5億円未満,58,27.6,32.8,22.4,10.3,1.7,1.7,3.4
売上高規模別,,5～10億円未満,91,24.2,23.1,14.3,26.4,11,1.1,0
売上高規模別,,10～30億円未満,81,9.9,25.9,11.1,24.7,24.7,3.7,0
売上高規模別,,30～50億円未満,26,3.8,19.2,19.2,23.1,3.8,26.9,3.8
売上高規模別,,50億円以上,26,7.7,11.5,11.5,30.8,26.9,11.5,0
