表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),減少(20％未満)(％),大幅減少(20％以上)(％),無回答(％)
,,今回調査（全体）,1875,1.7,18.4,22.6,30.6,23.7,2.9
業種別,,総合商品小売業,148,4.7,25.7,29.1,19.6,20.3,0.7
業種別,,生鮮食品小売業,105,0,23.8,26.7,24.8,20,4.8
業種別,,食料品関連小売業,483,1.7,19.7,23.2,32.7,19.3,3.5
業種別,,衣料品関連小売業,290,2.1,12.8,16.6,32.4,34.5,1.7
業種別,,住関連小売業,155,0.6,20.6,14.8,35.5,23.9,4.5
業種別,,その他小売業,692,1.4,16.9,24.4,30.6,23.7,2.9
従業者規模別,,1～2人,1000,0.9,16.1,19.5,35.2,25.7,2.6
従業者規模別,,3～5人,460,2.4,18.5,23.3,28.5,24.1,3.3
従業者規模別,,6～19人,254,2.8,24.4,30.7,21.3,17.3,3.5
従業者規模別,,20人以上,127,3.9,26.8,28.3,21.3,16.5,3.1
売上高増減別(前年同期比),,増加,134,6,48.5,30.6,11.2,2.2,1.5
売上高増減別(前年同期比),,横ばい,241,2.1,32.8,32,19.9,10,3.3
売上高増減別(前年同期比),,減少,1434,1.1,13.3,20.2,34.7,28.1,2.5
売上高増減別(3年前),,増加,130,7.7,43.8,22.3,16.2,7.7,2.3
売上高増減別(3年前),,横ばい,338,3,35.5,25.7,21,11.8,3
売上高増減別(3年前),,減少,1346,0.8,12.2,21.2,34.9,28,2.8
店舗立地別,,商業地,609,2.1,13.6,22.2,33,27.4,1.6
店舗立地別,,大型ターミナル駅周辺,16,0,12.5,6.3,31.3,43.8,6.3
店舗立地別,,駅周辺（大型ターミナル駅を除く）,268,1.1,17.9,25.4,34,20.5,1.1
店舗立地別,,ロードサイド,127,1.6,33.1,25.2,22.8,15,2.4
店舗立地別,,住宅街,664,1.5,22.1,24.5,29.5,19.7,2.6
店舗立地別,,オフィス街,55,3.6,7.3,12.7,25.5,49.1,1.8
店舗立地別,,工業地・倉庫街,9,0,55.6,0,33.3,0,11.1
店舗立地別,,その他,38,2.6,10.5,7.9,39.5,31.6,7.9
所在地別,,都心,152,2,11.2,16.4,28.9,40.1,1.3
所在地別,,副都心,189,2.6,16.4,21.2,32.3,26.5,1.1
所在地別,,城東,443,1.4,13.8,23.5,32.3,26.2,2.9
所在地別,,城南,195,1,25.1,17.9,30.3,22.6,3.1
所在地別,,城西,333,3,21.6,25.2,31.5,15.9,2.7
所在地別,,城北,123,1.6,16.3,26,30.1,22,4.1
所在地別,,多摩,436,0.5,21.8,23.6,28.4,21.6,4.1
