表側,2012年(千人),2013年(千人),2014年(千人),2015年(千人),2016年(千人),2017年(千人),2018年(千人),2019年(千人),2020年(千人)
区部,8973,9016,9087,9180,9288,9385,9479,9569,9653
市町村部,4217,4217,4222,4230,4244,4261,4275,4288,4299
東京都,13190,13233,13310,13410,13532,13647,13754,13857,13952
