表側１,表側２,表側３,回答企業数(件),現事業を維持(%),現事業を拡大(%),現事業に加え、新たな事業を展開(%),現事業を縮小し、新たな事業を展開(%),現事業を縮小し、新たな事業を展開しない(%),その他(%),わからない・まだ決めていない(%),廃業の予定(%),無回答(%)
,,"今回調査
（全体）",2141,46.6,5.8,4.5,1.4,2.7,0.2,14.1,11.0,13.6
,,前回調査,2003,46.8,5.3,3.4,1.8,2.9,0.4,16.9,10.1,12.3
業種別,,総合商品小売業,189,57.1,12.7,3.7,0.5,1.1,0.5,13.2,3.7,7.4
業種別,,生鮮食品小売業,134,52.2,3.7,3.0,0.7,3.0,0.0,11.2,6.7,19.4
業種別,,食料品関連小売業,535,45.0,3.9,4.5,1.9,2.6,0.2,13.8,14.6,13.5
業種別,,衣料品関連小売業,298,41.9,4.0,5.7,2.3,1.7,0.0,14.4,13.4,16.4
業種別,,住関連小売業,167,40.1,6.0,4.2,3.0,3.0,0.0,14.4,14.4,15.0
業種別,,その他小売業,773,47.5,6.7,4.8,0.9,3.4,0.4,14.6,9.3,12.4
従業者規模別,,１～２人,1066,39.7,2.6,1.8,0.8,3.1,0.3,17.2,17.7,16.8
従業者規模別,,３～５人,486,55.6,5.8,4.5,2.5,2.1,0.0,12.3,4.3,13.0
従業者規模別,,６～19人,336,56.3,8.3,9.2,2.1,3.0,0.3,11.3,3.0,6.5
従業者規模別,,20人以上,170,50.6,21.8,12.4,1.2,1.8,0.6,6.5,1.8,3.5
年間売上高増減別（3年前）,,増加（５％以上）,227,54.6,18.5,8.4,0.4,1.3,0.0,7.0,3.1,6.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,52.8,7.5,6.3,1.6,1.8,0.0,15.1,5.3,9.6
年間売上高増減別（3年前）,,やや減少（10％未満）,450,48.7,3.1,3.1,1.6,3.3,0.7,15.3,12.0,12.2
年間売上高増減別（3年前）,,減少（20％未満）,434,44.5,4.4,3.7,1.8,3.2,0.2,12.4,13.4,16.4
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,34.8,2.0,2.7,1.6,3.8,0.2,17.1,18.4,19.3
売上高経常利益率別,,黒字（プラス）,1093,50.0,7.0,5.1,1.2,2.7,0.3,13.3,9.2,11.2
売上高経常利益率別,,赤字（マイナス）,838,41.5,4.1,4.5,2.1,2.7,0.1,15.8,13.2,15.9
経常損益の変化別（3年前）,,増益,316,48.1,10.1,9.5,1.9,1.3,0.6,11.1,6.0,11.4
経常損益の変化別（3年前）,,横ばい,702,48.6,5.0,4.3,1.9,2.3,0.1,16.1,9.8,12.0
経常損益の変化別（3年前）,,減益,999,44.1,4.8,3.3,1.2,3.7,0.2,14.1,13.6,14.9
