表側,区部,市町村部
2016年(千人),9291,4244
2017年(千人),9401,4264
2018年(千人),9508,4280
2019年(千人),9611,4295
2020年(千人),9709,4308
2021年(千人),9721,4316
2022年(千人),9671,4317
2023年(千人),9717,4317
