表側１,表側２,表側３,回答企業数(件),品揃えの幅広さ(%),品揃えの深さ（専門性）(%),商材の発掘(%),新商品の企画・開発(%),顧客への品揃えの提案(%),顧客の売場づくり支援(%),顧客への販促提案(%),顧客への情報提供(%),短納期や納期の短縮化(%),小口受注・小口配送(%),多頻度配送(%),情報収集・分析(%),金融機能(%),他事業者との連携(%),業務の効率化・合理化(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",197,24.4,37.1,34.0,32.0,22.3,8.1,31.5,33.0,12.7,10.7,3.6,21.8,1.5,12.2,12.7,2.0,6.6,4.6
,,前回調査,128,21.9,38.3,34.4,31.3,24.2,8.6,32.8,34.4,9.4,10.9,1.6,20.3,1.6,10.2,17.2,2.3,6.3,2.3
業種別,,食料品卸売業,58,36.2,36.2,34.5,19.0,24.1,10.3,27.6,29.3,6.9,17.2,8.6,20.7,0.0,5.2,10.3,0.0,5.2,6.9
業種別,,生鮮食品卸売業,24,41.7,50.0,29.2,12.5,29.2,4.2,29.2,33.3,8.3,20.8,12.5,20.8,0.0,4.2,8.3,0.0,0.0,4.2
業種別,,加工食品等卸売業,34,32.4,26.5,38.2,23.5,20.6,14.7,26.5,26.5,5.9,14.7,5.9,20.6,0.0,5.9,11.8,0.0,8.8,8.8
業種別,,衣料品関連卸売業,29,24.1,34.5,27.6,58.6,34.5,10.3,31.0,20.7,17.2,20.7,3.4,20.7,3.4,20.7,13.8,6.9,3.4,3.4
業種別,,住関連卸売業,44,15.9,34.1,34.1,27.3,15.9,4.5,36.4,40.9,13.6,0.0,0.0,31.8,2.3,11.4,9.1,4.5,11.4,2.3
業種別,,その他卸売業,66,19.7,40.9,36.4,34.8,19.7,7.6,31.8,36.4,15.2,7.6,1.5,16.7,1.5,15.2,16.7,0.0,6.1,4.5
従業者規模別,,１～５人,73,13.7,27.4,21.9,27.4,11.0,2.7,21.9,23.3,6.8,8.2,1.4,19.2,0.0,11.0,4.1,2.7,11.0,8.2
従業者規模別,,６～９人,30,23.3,43.3,23.3,20.0,23.3,3.3,26.7,26.7,26.7,13.3,6.7,23.3,3.3,3.3,13.3,6.7,6.7,3.3
従業者規模別,,10～49人,76,35.5,42.1,48.7,38.2,28.9,7.9,40.8,40.8,13.2,11.8,3.9,22.4,2.6,11.8,18.4,0.0,2.6,2.6
従業者規模別,,50人以上,14,28.6,50.0,35.7,50.0,50.0,42.9,42.9,57.1,14.3,7.1,0.0,28.6,0.0,42.9,28.6,0.0,7.1,0.0
取引形態別,一次卸,小売直取引卸,73,26.0,39.7,38.4,41.1,24.7,13.7,27.4,32.9,9.6,12.3,4.1,17.8,2.7,12.3,6.8,1.4,2.7,5.5
取引形態別,一次卸,他部門直取引卸,17,17.6,47.1,64.7,52.9,35.3,0.0,35.3,76.5,11.8,11.8,5.9,52.9,5.9,35.3,11.8,0.0,0.0,5.9
取引形態別,一次卸,元卸,31,19.4,32.3,32.3,45.2,16.1,6.5,35.5,32.3,12.9,3.2,0.0,32.3,0.0,6.5,32.3,0.0,6.5,3.2
取引形態別,二次卸,中間卸,22,27.3,36.4,36.4,18.2,9.1,4.5,40.9,18.2,18.2,9.1,13.6,18.2,0.0,9.1,9.1,0.0,13.6,4.5
取引形態別,二次卸,最終卸,31,29.0,38.7,22.6,6.5,22.6,6.5,25.8,29.0,16.1,12.9,0.0,6.5,0.0,6.5,6.5,0.0,12.9,6.5
取引形態別,その他,製造問屋,8,0.0,12.5,0.0,25.0,25.0,0.0,25.0,12.5,25.0,12.5,0.0,25.0,0.0,12.5,12.5,25.0,0.0,0.0
取引形態別,その他,その他卸,13,30.8,30.8,23.1,15.4,30.8,7.7,46.2,30.8,7.7,15.4,0.0,23.1,0.0,15.4,23.1,0.0,15.4,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,73,24.7,43.8,38.4,35.6,20.5,9.6,31.5,32.9,16.4,9.6,5.5,27.4,2.7,13.7,13.7,2.7,2.7,4.1
年間売上高増減別（3年前）,,やや増加（10％未満）,42,28.6,40.5,33.3,28.6,19.0,0.0,26.2,35.7,7.1,2.4,4.8,26.2,0.0,7.1,21.4,2.4,4.8,7.1
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,24,25.0,37.5,33.3,25.0,33.3,8.3,37.5,37.5,12.5,12.5,4.2,20.8,0.0,16.7,4.2,0.0,8.3,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,20,25.0,40.0,45.0,40.0,20.0,5.0,30.0,15.0,10.0,15.0,0.0,0.0,0.0,20.0,15.0,0.0,10.0,5.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,33,18.2,12.1,18.2,33.3,21.2,12.1,33.3,36.4,15.2,21.2,0.0,21.2,3.0,9.1,6.1,3.0,9.1,6.1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
