表側１,表側２,表側３,回答企業数(件),販売している(％),今後販売する予定(％),販売していたが中止した(％),販売予定なし(％),無回答(％)
,,今回調査（全体）,760,35,6.4,2.8,51.4,4.3
,,前回調査,823,38.4,4.3,3.6,49.8,3.9
業種別,,食料品卸売業,237,40.1,6.8,3.4,46,3.8
業種別,,生鮮食品卸売業,126,31.7,7.1,4.8,51.6,4.8
業種別,,加工食品等卸売業,111,49.5,6.3,1.8,39.6,2.7
業種別,,衣料品関連卸売業,145,39.3,7.6,3.4,46.2,3.4
業種別,,住関連卸売業,83,31.3,6,1.2,56.6,4.8
業種別,,その他卸売業,288,29.2,5.9,2.4,57.3,5.2
従業者規模別,,1～5人,399,35.6,5.5,3.3,51.1,4.5
従業者規模別,,6～9人,101,35.6,5,2,53.5,4
従業者規模別,,10～49人,208,33.2,8.7,2.9,51,4.3
従業者規模別,,50人以上,36,33.3,8.3,0,58.3,0
取引形態別,一次卸,小売直取引卸,219,39.7,6.4,2.7,47.5,3.7
取引形態別,一次卸,他部門直取引卸,50,12,12,0,72,4
取引形態別,一次卸,元卸,154,31.8,7.1,3.9,53.9,3.2
取引形態別,二次卸,中間卸,85,28.2,1.2,1.2,62.4,7.1
取引形態別,二次卸,最終卸,135,45.9,8.1,1.5,40.7,3.7
取引形態別,その他,製造問屋,19,31.6,10.5,0,57.9,0
取引形態別,その他,その他卸,77,27.3,3.9,5.2,55.8,7.8
売上高増減別(前年同期比),,増加,56,37.5,3.6,3.6,53.6,1.8
売上高増減別(前年同期比),,横ばい,108,29.6,6.5,2.8,60.2,0.9
売上高増減別(前年同期比),,減少,585,35.9,6.7,2.7,49.7,5
売上高増減別(３年前),,増加,136,36,8.1,2.9,52.2,0.7
売上高増減別(３年前),,横ばい,130,28.5,6.9,3.1,59.2,2.3
売上高増減別(３年前),,減少,443,36.3,5.9,2.9,49.2,5.6
