区分,集計企業数（社）,"資本金／1,000万円未満（社）","資本金／1,000万～3,000万円未満（社）","資本金／3,000万～5,000万円未満（社）","資本金／5,000万～1億円未満（社）",資本金／1億円以上（社）,資本金／無回答,企業規模／10～49人（社）,企業規模／50～99人（社）,企業規模／100～299人（社）
調査産業計,876,166,336,139,157,78,0,585,188,103
建設業,71,6,26,15,19,5,0,43,14,14
製造業,207,12,81,50,46,18,0,106,58,43
情報通信業,58,4,17,9,15,13,0,26,20,12
運輸業，郵便業,42,3,18,9,7,5,0,16,14,12
卸売業，小売業,180,48,65,31,31,5,0,161,16,3
金融業，保険業,27,-,-,-,-,27,0,7,11,9
不動産業，物品賃貸業,16,5,6,1,3,1,0,6,4,6
学術研究，専門・技術サービス業,57,10,28,2,14,3,0,44,12,1
宿泊業，飲食サービス業,43,15,18,6,4,-,0,33,8,2
生活関連サービス業，娯楽業,34,3,19,5,7,-,0,30,4,-
教育，学習支援業(学校教育を除く）,30,10,13,4,3,-,0,22,8,-
医療，福祉,57,35,17,2,3,-,0,49,8,-
サービス業（他に分類されないもの）,54,15,28,5,5,1,0,42,11,1
