年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
サービス業,101.1,99.5,100,101.1,101.8,102.1,103.3,91.3,93,97.6
対個人サービス業,104.6,102.5,100,97.2,95.3,93.9,95.6,73.5,76.2,84.3
対事業所サービス業,99.2,97.8,100,103.3,105.5,106.6,107.6,101.2,102.3,104.9
