表側１,表側２,表側３,回答企業数(件),1940年以前(%),1941～1950年(%),1951～1960年(%),1961～1970年(%),1971～1980年(%),1981～1990年(%),1991～2000年(%),2001～2010年(%),2011年以降(%),無回答(%)
,,"今回調査
（全体）",2141,8.7,7.8,13.9,9.9,11.3,9.4,11.7,12.6,9.6,5.3
,,前回調査,2003,13.3,8.7,13.3,11.4,10.9,9.7,9.1,10.0,8.1,5.4
業種別,,総合商品小売業,189,1.1,2.1,5.3,1.6,6.9,7.9,16.9,27.5,25.4,5.3
業種別,,生鮮食品小売業,134,10.4,13.4,17.2,16.4,11.9,6.7,4.5,7.5,4.5,7.5
業種別,,食料品関連小売業,535,15.3,8.4,17.8,11.6,8.8,7.3,7.5,8.0,8.6,6.7
業種別,,衣料品関連小売業,298,6.7,6.4,16.1,7.4,13.1,9.1,14.8,15.1,7.4,4.0
業種別,,住関連小売業,167,6.6,8.4,15.0,13.2,19.2,12.6,4.8,8.4,6.6,5.4
業種別,,その他小売業,773,7.2,7.4,11.8,9.4,11.6,11.1,15.1,12.7,9.2,4.4
従業者規模別,,１～２人,1066,8.2,8.2,17.6,11.2,11.4,8.5,10.2,11.0,8.1,5.6
従業者規模別,,３～５人,486,13.8,9.9,13.6,10.5,13.8,8.6,8.6,10.1,7.0,4.1
従業者規模別,,６～19人,336,5.7,5.7,5.4,9.8,8.3,10.7,18.2,17.3,15.8,3.3
従業者規模別,,20人以上,170,4.7,4.1,10.0,2.9,8.8,13.5,16.5,21.8,14.7,2.9
