,,策定している        ,策定していない      ,無回答            ,ｎ
,今回調査（全体）,35.3,59.8,4.9,2348
,前回調査,35.1,61.6,3.3,2263
業種別,情報・コンテンツ業,45.8,50.2,4.1,640 
業種別,専門サービス業,28.2,67.4,4.4,820 
業種別,技術サービス業,32.9,62.1,5.0,340 
業種別,事業サービス業,35.3,59.0,5.7,507 
特定10業種,ソフトウェア業,50.0,47.6,2.4,286 
特定10業種,インターネット附随サービス業,51.6,45.2,3.2,62 
特定10業種,映像情報制作・配給業,39.7,54.4,5.9,68 
特定10業種,出版業,38.2,56.4,5.5,55 
特定10業種,税理士事務所,13.8,81.7,4.6,218 
特定10業種,デザイン業,38.5,60.6,1.0,104 
特定10業種,経営コンサルタント業,41.9,49.2,8.9,179 
特定10業種,建築設計業,28.9,67.2,3.9,180 
特定10業種,自動車整備業,18.5,72.2,9.3,54 
特定10業種,建物サービス業,28.8,69.4,1.8,111 
従業者規模別,1～2人,22.9,71.0,6.2,971 
従業者規模別,3～5人,29.8,65.6,4.5,573 
従業者規模別,6～9人,39.2,55.6,5.2,250 
従業者規模別,10～29人,52.5,45.3,2.2,316 
従業者規模別,30人以上,76.7,21.0,2.4,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,53.4,44.4,2.1,234 
年間売上高増減別（３年前）,やや(10％未満)増加,47.5,51.3,1.3,238 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,28.7,68.1,3.2,662 
年間売上高増減別（３年前）,やや(10％未満)減少,31.5,64.6,3.9,308 
年間売上高増減別（３年前）,大幅(10％以上)減少,34.7,61.9,3.4,795
売上高経常利益率別,黒字,38.2,57.5,4.3,1409
売上高経常利益率別,赤字,32.8,62.2,5.1,693
経常損益の変化別（３年前）,増益,44.8,53.5,1.7,469
経常損益の変化別（３年前）,横ばい,31.0 ,65.4,3.7,765
経常損益の変化別（３年前）,減益,35.7,61.5,2.9,973
