,情報・コンテンツ業,専門サービス業,技術サービス業,事業サービス業,無回答,ｎ
今回調査（全体）,27.3,34.9,14.5,21.6,1.7,2348
前回調査,23,37.6,17.1,21.8,0.5,2263
