表側(年),DI／全体,DI／卸売業,DI／小売業
2008Ⅰ,7.1,3,8.5
2008Ⅱ,4.6,-0.6,8.3
2008Ⅲ,2.7,-2.4,6.8
2008Ⅳ,-10.4,-15.4,-0.8
2009Ⅰ,-15.5,-15.3,-2.1
2009Ⅱ,-15.5,-17.2,-3.6
2009Ⅲ,-14.4,-12.2,0.4
2009Ⅳ,-13,-10.1,-3
2010Ⅰ,-6,-6.1,2.6
2010Ⅱ,-7.9,-11,-2.3
2010Ⅲ,-7.2,-10.6,-6.1
2010Ⅳ,-3.1,-2.5,0.4
2011Ⅰ,-6.2,-8.2,-8
2011Ⅱ,-3.2,-5.2,1.8
2011Ⅲ,-1.6,0.7,-1.2
2011Ⅳ,1.7,3.4,3.1
2012Ⅰ,1.6,4.1,0.7
2012Ⅱ,-2,-3.3,-1.5
2012Ⅲ,-1.9,-0.8,-3.2
2012Ⅳ,2.1,-3.2,9.6
2013Ⅰ,2,0.8,2.1
2013Ⅱ,1.1,0.9,1.2
2013Ⅲ,5.8,5,2.9
2013Ⅳ,9.2,10.3,4.6
2014Ⅰ,12.1,10.5,7.2
2014Ⅱ,8.5,10,6.1
2014Ⅲ,10.8,8.9,10.1
2014Ⅳ,10.8,7.3,12.6
2015Ⅰ,14.2,9.7,14.9
2015Ⅱ,9.6,6.4,9.2
2015Ⅲ,11.6,3.4,12.5
2015Ⅳ,13.7,10.1,14.8
2016Ⅰ,14.9,12.8,15.4
2016Ⅱ,11.9,6.4,14.2
2016Ⅲ,13.1,9.8,10.7
2016Ⅳ,17.9,14.7,18.9
2017Ⅰ,16.6,16.2,10
2017Ⅱ,15.9,17.9,9.4
2017Ⅲ,20.3,17.6,16.5
2017Ⅳ,22.5,23.7,13.4
2018Ⅰ,22.2,20.2,17.7
2018Ⅱ,16.7,12.9,12.6
2018Ⅲ,19.1,17,14
2018Ⅳ,20.4,18.1,14.9
2019Ⅰ,20.6,19.5,15
2019Ⅱ,19.9,20.5,13
2019Ⅲ,18.3,17.8,18.3
2019Ⅳ,20.1,17.5,15.8
2020Ⅰ,7.7,5.3,0.7
2020Ⅱ,0.1,-0.2,1.4
2020Ⅲ,-1,-1.9,2.8
2020Ⅳ,2.9,2.9,3.3
