表側１,表側２,2005年(千人),2010年(千人),2015年(千人)
昼間,総数,14978,15576,15920
昼間,区部,11285,11712,12034
昼間,市町村部,3693,3865,3887
夜間,総数,12416,13159,13515
夜間,区部,8352,8946,9273
夜間,市町村部,4064,4214,4243
流入超過,総数,2562,2417,2405
流入超過,区部,2933,2766,2761
流入超過,市町村部,-371,-349,-356
