区分,集計企業数（社）,再雇用制度を採用（社）,勤務延長制度を採用（社）,再雇用制度・勤務延長制度を併用（社）,継続雇用制度を採用していない（社）
調査産業計,892,705,83,33,71
労組有,71,61,5,2,3
労組無,821,644,78,31,68
建設業,81,70,6,4,1
製造業,267,230,17,11,9
情報通信業,48,34,2,0,12
運輸業，郵便業,51,37,10,2,2
卸売業，小売業,146,114,15,5,12
金融業，保険業,43,34,2,3,4
不動産業，物品賃貸業,29,26,0,0,3
学術研究，専門・技術サービス業,53,37,5,1,10
宿泊業，飲食サービス業,28,18,6,1,3
生活関連サービス業，娯楽業,29,21,6,0,2
教育，学習支援業(学校教育を除く）,26,15,2,1,8
医療，福祉,32,20,8,3,1
サービス業（他に分類されないもの）,59,49,4,2,4
10～49人,532,414,56,20,42
50～99人,218,169,21,9,19
100～299人,142,122,6,4,10
