区分,集計企業数（社）,総計／総計（人）,総計／男性（人）,総計／女性（人）,正社員計／小計（人）,正社員計／男性（人）,正社員計／女性（人）,役付者／小計（人）,役付者／男性（人）,役付者／女性（人）,一般労働者（正社員）／小計（人）,一般労働者（正社員）／男性（人）,一般労働者（正社員）／女性（人）,非正社員計／小計（人）,非正社員計／男性（人）,非正社員計／女性（人）,契約社員等／小計（人）,契約社員等／男性（人）,契約社員等／女性（人）,パート・アルバイト／小計（人）,パート・アルバイト／男性（人）,パート・アルバイト／女性（人）,嘱託・再雇用／小計（人）,嘱託・再雇用／男性（人）,嘱託・再雇用／女性（人）,その他／小計（人）,その他／男性（人）,その他／女性（人）,直接雇用以外の労働者計／小計（人）,直接雇用以外の労働者計／男性（人）,直接雇用以外の労働者計／女性（人）,派遣労働者／小計（人）,派遣労働者／男性（人）,派遣労働者／女性（人）,業務委託等労働者／小計（人）,業務委託等労働者／男性（人）,業務委託等労働者／女性（人）
調査産業計,1012,43967,28087,15880,31788,21949,9839,10212,8414,1798,21576,13535,8041,9976,5061,4915,1791,1004,787,5758,1958,3800,2126,1877,249,301,222,79,2203,1077,1126,1219,379,840,984,698,286
労組有,75,5521,4110,1411,4233,3185,1048,1424,1227,197,2809,1958,851,1029,764,265,202,135,67,276,118,158,530,490,40,21,21,-,259,161,98,181,95,86,78,66,12
労組無,937,38446,23977,14469,27555,18764,8791,8788,7187,1601,18767,11577,7190,8947,4297,4650,1589,869,720,5482,1840,3642,1596,1387,209,280,201,79,1944,916,1028,1038,284,754,906,632,274
建設業,85,5352,4247,1105,4353,3489,864,1437,1330,107,2916,2159,757,773,636,137,208,169,39,204,121,83,336,321,15,25,25,-,226,122,104,134,48,86,92,74,18
製造業,274,10506,6888,3618,8073,5757,2316,2581,2256,325,5492,3501,1991,2080,948,1132,320,155,165,1080,220,860,660,557,103,20,16,4,353,183,170,298,146,152,55,37,18
情報通信業,50,3178,1978,1200,2715,1751,964,803,620,183,1912,1131,781,287,116,171,140,48,92,86,24,62,58,44,14,3,-,3,176,111,65,79,45,34,97,66,31
運輸業，郵便業,55,3547,2990,557,2480,2155,325,360,311,49,2120,1844,276,905,763,142,184,164,20,268,165,103,417,403,14,36,31,5,162,72,90,111,33,78,51,39,12
卸売業，小売業,195,5679,2975,2704,3851,2280,1571,1165,907,258,2686,1373,1313,1670,636,1034,231,107,124,1240,384,856,170,140,30,29,5,24,158,59,99,98,11,87,60,48,12
金融業，保険業,43,3719,2306,1413,2912,1860,1052,1584,1205,379,1328,655,673,334,217,117,137,60,77,29,13,16,158,144,14,10,-,10,473,229,244,216,30,186,257,199,58
不動産業，物品賃貸業,30,2131,1314,817,1472,1003,469,617,542,75,855,461,394,552,262,290,132,91,41,319,84,235,54,44,10,47,43,4,107,49,58,60,14,46,47,35,12
学術研究，専門・技術サービス業,58,2193,1237,956,1767,999,768,529,391,138,1238,608,630,311,179,132,79,46,33,129,48,81,77,68,9,26,17,9,115,59,56,42,6,36,73,53,20
宿泊業，飲食サービス業,49,1652,781,871,749,494,255,139,111,28,610,383,227,818,262,556,53,36,17,746,210,536,18,15,3,1,1,-,85,25,60,7,3,4,78,22,56
生活関連サービス業，娯楽業,33,927,450,477,625,340,285,216,149,67,409,191,218,245,75,170,53,11,42,145,30,115,44,32,12,3,2,1,57,35,22,16,5,11,41,30,11
教育，学習支援業(学校教育を除く）,32,1203,606,597,506,264,242,152,105,47,354,159,195,621,304,317,62,37,25,509,229,280,18,11,7,32,27,5,76,38,38,28,2,26,48,36,12
医療，福祉,43,1145,351,794,606,254,352,154,80,74,452,174,278,513,91,422,56,21,35,446,64,382,10,5,5,1,1,-,26,6,20,21,3,18,5,3,2
サービス業（他に分類されないもの）,65,2735,1964,771,1679,1303,376,475,407,68,1204,896,308,867,572,295,136,59,77,557,366,191,106,93,13,68,54,14,189,89,100,109,33,76,80,56,24
10 ～ 49人,642,16764,9754,7010,10741,7132,3609,3255,2579,676,7486,4553,2933,5362,2336,3026,630,339,291,3727,1165,2562,766,654,112,239,178,61,661,286,375,316,76,240,345,210,135
50 ～ 99人,225,11747,7766,3981,8681,6049,2632,2653,2192,461,6028,3857,2171,2192,1219,973,473,293,180,1091,367,724,595,528,67,33,31,2,874,498,376,420,143,277,454,355,99
100 ～ 299人,145,15456,10567,4889,12366,8768,3598,4304,3643,661,8062,5125,2937,2422,1506,916,688,372,316,940,426,514,765,695,70,29,13,16,668,293,375,483,160,323,185,133,52
