表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩・島しょ(％),関東（都内を除く）(％),関東以外の道府県(％),海外(％),無回答(％)
,,"今回調査
（全体）",767,19.9,11.2,13.0,3.4,2.5,0.8,3.7,16.8,19.7,2.2,6.8
,,前回調査,760,13.6,9.6,12.5,5.0,3.9,0.9,4.9,23.4,18.9,2.2,5.0
業種別,,食料品卸売業,213,21.1,9.9,16.4,3.8,4.7,0.5,4.2,15.5,16.4,1.4,6.1
業種別,,生鮮食品卸売業,91,22.0,9.9,20.9,6.6,3.3,1.1,5.5,11.0,9.9,1.1,8.8
業種別,,加工食品等卸売業,122,20.5,9.8,13.1,1.6,5.7,0.0,3.3,18.9,21.3,1.6,4.1
業種別,,衣料品関連卸売業,111,17.1,23.4,5.4,2.7,1.8,0.0,0.9,15.3,23.4,1.8,8.1
業種別,,住関連卸売業,155,21.9,8.4,7.1,2.6,1.3,0.0,3.9,20.0,21.3,2.6,11.0
業種別,,その他卸売業,270,19.3,7.8,16.3,3.7,1.5,1.9,4.4,17.0,20.4,3.0,4.8
従業者規模別,,１～５人,406,15.3,9.1,16.0,3.9,3.4,0.7,4.9,18.5,17.0,2.7,8.4
従業者規模別,,６～９人,119,20.2,11.8,16.0,2.5,1.7,0.0,3.4,13.4,21.8,1.7,7.6
従業者規模別,,10～49人,192,28.1,14.6,5.7,3.1,0.5,1.6,2.1,15.1,25.0,1.6,2.6
従業者規模別,,50人以上,28,28.6,7.1,14.3,0.0,7.1,0.0,0.0,21.4,14.3,0.0,7.1
取引形態別,一次卸,小売直取引卸,229,17.9,15.3,7.4,6.1,2.2,0.4,4.4,17.9,20.5,1.3,6.6
取引形態別,一次卸,他部門直取引卸,67,20.9,4.5,10.4,3.0,1.5,0.0,3.0,19.4,28.4,7.5,1.5
取引形態別,一次卸,元卸,127,26.8,6.3,11.8,0.8,0.0,0.0,0.8,17.3,27.6,1.6,7.1
取引形態別,二次卸,中間卸,93,14.0,6.5,20.4,4.3,4.3,0.0,4.3,19.4,17.2,1.1,8.6
取引形態別,二次卸,最終卸,131,20.6,14.5,16.8,2.3,6.1,3.1,6.9,10.7,11.5,1.5,6.1
取引形態別,その他,製造問屋,20,15.0,20.0,10.0,0.0,0.0,0.0,10.0,15.0,20.0,10.0,0.0
取引形態別,その他,その他卸,65,23.1,9.2,18.5,1.5,0.0,1.5,0.0,16.9,12.3,3.1,13.8
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,21.7,13.3,11.7,0.8,0.0,0.8,0.8,17.5,23.3,1.7,8.3
年間売上高増減別（3年前）,,やや増加（10％未満）,108,20.4,8.3,11.1,1.9,3.7,0.0,2.8,27.8,16.7,1.9,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,19.5,9.7,16.9,5.2,2.6,1.3,1.3,13.0,22.1,3.9,4.5
年間売上高増減別（3年前）,,やや減少（10％未満）,124,21.8,9.7,12.9,3.2,1.6,0.8,9.7,12.9,21.8,0.0,5.6
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,18.5,11.6,11.6,4.3,2.6,0.9,4.3,16.7,18.0,3.0,8.6
所在地別,,都心,183,32.8,4.4,5.5,2.7,1.6,0.0,1.1,16.9,25.7,3.3,6.0
所在地別,,副都心,115,11.3,35.7,5.2,2.6,1.7,0.0,1.7,12.2,22.6,2.6,4.3
所在地別,,城東,218,17.9,7.3,31.2,0.9,0.9,0.5,0.0,17.0,15.1,1.4,7.8
所在地別,,城南,64,25.0,7.8,7.8,18.8,1.6,0.0,0.0,7.8,28.1,1.6,1.6
所在地別,,城西,71,18.3,7.0,8.5,5.6,11.3,0.0,1.4,23.9,15.5,1.4,7.0
所在地別,,城北,28,10.7,7.1,10.7,0.0,3.6,17.9,0.0,28.6,17.9,0.0,3.6
所在地別,,多摩,80,7.5,11.3,2.5,0.0,2.5,0.0,28.8,20.0,11.3,3.8,12.5
