表側１,表側２,表側３,回答企業数(件),在庫なし(％),10日未満(％),10日～1か月未満(％),1～2か月未満(％),2～3か月未満(％),3～6か月未満(％),6か月～1年未満(％),1年以上(％),無回答(％)
,,今回調査（全体）,760,12.5,11.4,16.4,16.1,8.8,14.2,12,5.4,3.2
,,前回調査,823,12.3,9,15.9,16.4,11.1,11.7,10.4,6.9,6.3
業種別,,食料品卸売業,237,8.4,27.8,21.9,15.2,5.9,9.7,4.6,1.7,4.6
業種別,,生鮮食品卸売業,126,7.9,43.7,16.7,14.3,3.2,5.6,2.4,1.6,4.8
業種別,,加工食品等卸売業,111,9,9.9,27.9,16.2,9,14.4,7.2,1.8,4.5
業種別,,衣料品関連卸売業,145,11,0.7,7.6,20,9.7,19.3,20,8.3,3.4
業種別,,住関連卸売業,83,22.9,4.8,16.9,15.7,10.8,9.6,12,6,1.2
業種別,,その他卸売業,288,13.5,5.6,16,14.9,10.1,16.7,13.9,6.9,2.4
従業者規模別,,1～5人,399,17.5,9.3,14.3,15,8.3,12.5,13.3,7.3,2.5
従業者規模別,,6～9人,101,12.9,9.9,16.8,14.9,11.9,16.8,9.9,4,3
従業者規模別,,10～49人,208,3.8,15.9,19.7,15.4,9.6,16.3,11.1,3.4,4.8
従業者規模別,,50人以上,36,5.6,19.4,19.4,25,5.6,13.9,8.3,2.8,0
