表側１,表側２,表側３,回答企業数(件),増加（５％以上）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),減少（20％未満）(%),大幅減少（20％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,10.6,23.8,21.0,20.3,20.8,0.3,3.2
業種別,,総合商品小売業,189,22.2,41.8,17.5,9.0,4.2,0.0,5.3
業種別,,生鮮食品小売業,134,9.0,24.6,31.3,12.7,18.7,0.0,3.7
業種別,,食料品関連小売業,535,9.7,22.8,22.8,24.5,17.4,0.4,2.4
業種別,,衣料品関連小売業,298,10.4,13.8,15.1,20.5,35.6,0.7,4.0
業種別,,住関連小売業,167,4.2,29.9,19.2,21.6,22.8,0.0,2.4
業種別,,その他小売業,773,10.3,21.7,21.7,21.7,21.0,0.4,3.1
従業者規模別,,１～２人,1066,6.5,18.8,20.9,23.1,27.2,0.5,3.1
従業者規模別,,３～５人,486,11.5,25.3,21.0,22.6,17.1,0.2,2.3
従業者規模別,,６～19人,336,16.1,31.8,22.3,14.9,11.3,0.3,3.3
従業者規模別,,20人以上,170,25.3,37.6,18.2,8.8,7.1,0.0,2.9
