表側１,表側２,表側３,回答企業数(件),決まっている(％),候補がいるが決まっていない(％),候補がいない(％),まだ決める必要がない(％),その他(％),無回答(％)
,,今回調査（全体）,292,44.2,30.5,9.6,12.3,0.7,2.7
,,前回調査,354,47.5,29.7,8.5,10.5,0.3,3.7
業種別,,食料品卸売業,98,46.9,34.7,7.1,9.2,1,1
業種別,,生鮮食品卸売業,60,43.3,36.7,6.7,10,1.7,1.7
業種別,,加工食品等卸売業,38,52.6,31.6,7.9,7.9,0,0
業種別,,衣料品関連卸売業,46,43.5,30.4,10.9,13,0,2.2
業種別,,住関連卸売業,33,33.3,27.3,3,27.3,0,9.1
業種別,,その他卸売業,114,45.6,27.2,13.2,10.5,0.9,2.6
従業者規模別,,1～5人,114,41.2,25.4,11.4,15.8,0.9,5.3
従業者規模別,,6～9人,50,42,32,8,12,2,4
従業者規模別,,10～49人,108,48.1,34.3,9.3,8.3,0,0
従業者規模別,,50人以上,12,50,33.3,8.3,8.3,0,0
取引形態別,一次卸,小売直取引卸,82,42.7,34.1,8.5,13.4,1.2,0
取引形態別,一次卸,他部門直取引卸,20,55,20,15,10,0,0
取引形態別,一次卸,元卸,64,43.8,31.3,14.1,6.3,1.6,3.1
取引形態別,二次卸,中間卸,32,40.6,31.3,9.4,12.5,0,6.3
取引形態別,二次卸,最終卸,56,41.1,37.5,5.4,12.5,0,3.6
取引形態別,その他,製造問屋,10,50,10,20,20,0,0
取引形態別,その他,その他卸,20,40,20,5,30,0,5
経常損益の変化別(前年同期比),,増益,27,48.1,22.2,11.1,14.8,3.7,0
経常損益の変化別(前年同期比),,横ばい,44,45.5,29.5,6.8,13.6,0,4.5
経常損益の変化別(前年同期比),,減益,207,42,32.4,10.1,12.1,0.5,2.9
経常損益の変化別(３年前),,増益,43,46.5,30.2,9.3,7,2.3,4.7
経常損益の変化別(３年前),,横ばい,99,47.5,28.3,8.1,14.1,0,2
経常損益の変化別(３年前),,減益,130,41.5,33.1,11.5,11.5,0.8,1.5
