表側１,表側２,表側３,回答企業数(件),増加（５％以上）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),減少（20％未満）(%),大幅減少（20％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,7.9,33.9,17.7,20.1,14.9,0.3,5.3
業種別,,総合商品小売業,189,17.5,47.6,20.6,6.3,4.2,0.0,3.7
業種別,,生鮮食品小売業,134,3.7,25.4,24.6,22.4,20.1,0.0,3.7
業種別,,食料品関連小売業,535,5.6,35.5,16.8,23.7,15.1,0.2,3.0
業種別,,衣料品関連小売業,298,11.4,19.8,16.4,23.5,24.2,0.7,4.0
業種別,,住関連小売業,167,7.2,32.3,15.6,23.4,17.4,0.0,4.2
業種別,,その他小売業,773,7.1,38.4,18.4,19.7,13.1,0.4,3.0
従業者規模別,,１～２人,1066,4.7,28.1,17.6,23.8,20.1,0.4,5.3
従業者規模別,,３～５人,486,8.2,33.5,18.5,22.0,12.8,0.0,4.9
従業者規模別,,６～19人,336,13.1,44.9,17.6,12.5,5.7,0.6,5.7
従業者規模別,,20人以上,170,15.9,54.1,17.6,5.9,2.9,0.0,3.5
年間売上高増減別（3年前）,,増加（５％以上）,227,35.7,43.2,9.7,6.6,2.2,0.0,2.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,7.5,54.0,18.7,9.4,4.7,0.0,5.7
年間売上高増減別（3年前）,,やや減少（10％未満）,450,2.9,33.8,26.9,22.2,11.1,0.0,3.1
年間売上高増減別（3年前）,,減少（20％未満）,434,3.7,24.2,20.3,34.3,13.8,0.0,3.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,3.6,17.8,11.0,23.4,38.0,0.0,6.3
店舗立地環境別,,駅周辺,579,11.4,34.5,20.9,18.0,11.6,0.3,3.3
店舗立地環境別,,商業地（駅周辺を除く,485,11.5,27.6,17.1,23.3,16.9,0.2,3.3
店舗立地環境別,,ロードサイド,128,3.1,51.6,14.1,14.8,12.5,0.0,3.9
店舗立地環境別,,住宅街,740,3.0,38.0,17.0,21.8,17.6,0.3,2.4
店舗立地環境別,,オフィス街,60,21.7,23.3,21.7,15.0,13.3,1.7,3.3
店舗立地環境別,,工業地・倉庫街,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
店舗立地環境別,,その他,59,13.6,27.1,18.6,22.0,11.9,0.0,6.8
所在地別,,都心,167,19.2,26.3,18.0,20.4,12.0,0.6,3.6
所在地別,,副都心,216,14.8,35.6,17.1,15.3,11.6,0.5,5.1
所在地別,,城東,546,9.7,32.2,15.9,20.0,17.4,0.2,4.6
所在地別,,城南,215,4.2,33.0,16.3,29.3,11.6,0.0,5.6
所在地別,,城西,324,4.9,39.5,20.4,17.3,13.3,0.0,4.6
所在地別,,城北,158,5.1,31.6,17.1,20.9,17.7,0.6,7.0
所在地別,,多摩,504,3.6,34.7,18.8,20.2,16.3,0.4,6.0
