表側１,表側２,表側３,回答企業数(件),小売直取引卸(％),他部門直取引卸（小売業者以外）(％),元卸(％),中間卸(％),最終卸(％),製造問屋(％),その他卸(％),無回答(％)
,,"今回調査
（全体）",767,29.9,8.7,16.6,12.1,17.1,2.6,8.5,4.6
,,前回調査,760,28.8,6.6,20.3,11.2,17.8,2.5,10.1,2.8
業種別,,食料品卸売業,213,23.5,6.1,19.7,18.3,24.9,0.5,5.2,1.9
業種別,,生鮮食品卸売業,91,18.7,4.4,12.1,23.1,31.9,0.0,7.7,2.2
業種別,,加工食品等卸売業,122,27.0,7.4,25.4,14.8,19.7,0.8,3.3,1.6
業種別,,衣料品関連卸売業,111,47.7,2.7,15.3,8.1,9.0,5.4,8.1,3.6
業種別,,住関連卸売業,155,31.0,16.1,11.0,6.5,19.4,1.9,11.6,2.6
業種別,,その他卸売業,270,28.9,9.6,18.9,13.0,14.1,3.7,10.0,1.9
