学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,5,173,2,x,x,3,x,x
高校卒,3,21,5,181,4,x,x,5,387,2.1
高校卒,5,23,5,196,4,x,x,5,644,3.3
高校卒,10,28,5,226,6,1058,4.7,6,1160,5.1
高校卒,15,33,5,268,6,1675,6.3,6,1824,6.8
高校卒,20,38,5,287,6,2379,8.3,6,2571,9
高校卒,25,43,5,318,6,3169,10,6,3368,10.6
高校卒,30,48,5,352,6,4052,11.5,6,4257,12.1
高校卒,35,53,5,387,6,4922,12.7,6,5174,13.4
高校卒,37,55,5,395,6,5285,13.4,6,5557,14.1
高校卒,定年,定年,5,392,-,-,-,5,5136,13.1
高専・短大卒,1,21,7,179,2,x,x,5,90,0.5
高専・短大卒,3,23,7,192,6,343,1.8,7,340,1.8
高専・短大卒,5,25,7,202,6,596,3,7,597,3
高専・短大卒,10,30,7,234,8,996,4.3,8,1201,5.1
高専・短大卒,15,35,7,268,8,1695,6.3,8,2018,7.5
高専・短大卒,20,40,7,296,8,2592,8.8,8,3024,10.2
高専・短大卒,25,45,7,334,8,3656,10.9,8,4202,12.6
高専・短大卒,30,50,7,362,8,4817,13.3,8,5541,15.3
高専・短大卒,35,55,7,398,8,5879,14.8,8,6653,16.7
高専・短大卒,定年,定年,7,400,-,-,-,6,7394,18.5
大学卒,1,23,8,199,2,x,x,5,119,0.6
大学卒,3,25,8,212,7,350,1.7,8,389,1.8
大学卒,5,27,8,225,7,639,2.8,8,705,3.1
大学卒,10,32,8,261,9,1164,4.5,9,1543,5.9
大学卒,15,37,8,303,9,2127,7,9,2646,8.7
大学卒,20,42,8,339,9,3501,10.3,9,4031,11.9
大学卒,25,47,8,381,9,5089,13.4,9,5666,14.9
大学卒,30,52,8,422,9,6931,16.4,9,7659,18.1
大学卒,33,55,7,460,9,8038,17.5,9,8765,19.1
大学卒,定年,定年,9,456,-,-,-,9,10128,22.2
