,個人,(法人)会社,(法人)会社以外の法人,法人でない団体,国、地方公共団体
情報通信業,2.8,95,1.9,0.2,0.1
"不動産業,物品賃貸業",27.9,70.2,1.6,0.1,0.2
学術研究，専門・技術サービス業,38.1,53.1,7.1,0.2,1.5
サービス業（他に分類されないもの）,10.9,42.3,40.1,5.1,1.6
